date,tmax,tmin
2000-01-10,17.0,9.0
2000-02-10,31.0,9.0
2000-03-10,34.0,25.0
2000-04-10,71.0,56.0
2000-05-10,77.0,56.0
2000-06-10,78.0,60.0
2000-07-10,102.0,75.0
2000-08-10,89.0,69.0
2000-09-10,79.0,59.0
2000-10-10,36.0,22.0
2000-11-10,26.0,14.0
2000-12-10,5.0,-1.0
2001-01-10,17.0,-7.0
2001-02-10,19.0,6.0
2001-03-10,48.0,27.0
2001-04-10,49.0,29.0
2001-05-10,85.0,63.0
2001-06-10,80.0,57.0
2001-07-10,93.0,68.0
2001-08-10,87.0,71.0
2001-09-10,72.0,58.0
2001-10-10,63.0,44.0
2001-11-10,47.0,35.0
2001-12-10,8.0,-8.0
2002-01-10,36.0,17.0
2002-02-10,29.0,6.0
2002-03-10,33.0,24.0
2002-04-10,67.0,41.0
2002-05-10,72.0,55.0
2002-06-10,86.0,65.0
2002-07-10,85.0,64.0
2002-08-10,99.0,72.0
2002-09-10,73.0,49.0
2002-10-10,62.0,46.0
2002-11-10,42.0,30.0
2002-12-10,20.0,8.0
2003-01-10,27.0,8.0
2003-02-10,9.0,1.0
2003-03-10,37.0,19.0
2003-04-10,52.0,34.0
2003-05-10,64.0,45.0
2003-06-10,75.0,65.0
2003-07-10,82.0,68.0
2003-08-10,81.0,62.0
2003-09-10,92.0,69.0
2003-10-10,51.0,38.0
2003-11-10,41.0,22.0
2003-12-10,22.0,13.0
2004-01-10,20.0,9.0
2004-02-10,30.0,17.0
2004-03-10,33.0,25.0
2004-04-10,54.0,40.0
2004-05-10,62.0,53.0
2004-06-10,73.0,58.0
2004-07-10,89.0,67.0
2004-08-10,76.0,61.0
2004-09-10,70.0,56.0
2004-10-10,58.0,40.0
2004-11-10,24.0,19.0
2004-12-10,39.0,17.0
2005-01-10,20.0,9.0
2005-02-10,12.0,-6.0
2005-03-10,32.0,26.0
2005-04-10,44.0,34.0
2005-05-10,81.0,63.0
2005-06-10,88.0,67.0
2005-07-10,98.0,73.0
2005-08-10,81.0,61.0
2005-09-10,72.0,54.0
2005-10-10,63.0,36.0
2005-11-10,42.0,32.0
2005-12-10,16.0,7.0
2006-01-10,20.0,-3.0
2006-02-10,29.0,18.0
2006-03-10,39.0,25.0
2006-04-10,34.0,22.0
2006-05-10,54.0,41.0
2006-06-10,85.0,72.0
2006-07-10,77.0,60.0
2006-08-10,91.0,70.0
2006-09-10,83.0,63.0
2006-10-10,69.0,48.0
2006-11-10,53.0,36.0
2006-12-10,29.0,2.0
2007-01-10,23.0,10.0
2007-02-10,36.0,23.0
2007-03-10,23.0,13.0
2007-04-10,67.0,52.0
2007-05-10,58.0,38.0
2007-06-10,82.0,58.0
2007-07-10,81.0,62.0
2007-08-10,94.0,72.0
2007-09-10,78.0,62.0
2007-10-10,55.0,41.0
2007-11-10,44.0,28.0
2007-12-10,23.0,19.0
2008-01-10,15.0,5.0
2008-02-10,15.0,3.0
2008-03-10,48.0,40.0
2008-04-10,58.0,40.0
2008-05-10,86.0,59.0
2008-06-10,98.0,70.0
2008-07-10,87.0,67.0
2008-08-10,99.0,73.0
2008-09-10,81.0,55.0
2008-10-10,74.0,51.0
2008-11-10,28.0,24.0
2008-12-10,29.0,17.0
2009-01-10,23.0,8.0
2009-02-10,33.0,18.0
2009-03-10,30.0,24.0
2009-04-10,64.0,49.0
2009-05-10,67.0,44.0
2009-06-10,84.0,66.0
2009-07-10,89.0,70.0
2009-08-10,96.0,71.0
2009-09-10,70.0,52.0
2009-10-10,68.0,51.0
2009-11-10,32.0,22.0
2009-12-10,14.0,3.0
2010-01-10,19.0,9.0
2010-02-10,4.0,-5.0
2010-03-10,31.0,13.0
2010-04-10,41.0,24.0
2010-05-10,75.0,62.0
2010-06-10,88.0,70.0
2010-07-10,87.0,67.0
2010-08-10,87.0,71.0
2010-09-10,83.0,66.0
2010-10-10,56.0,37.0
2010-11-10,51.0,40.0
2010-12-10,27.0,17.0
2011-01-10,-1.0,-16.0
2011-02-10,28.0,17.0
2011-03-10,41.0,21.0
2011-04-10,69.0,56.0
2011-05-10,60.0,48.0
2011-06-10,83.0,69.0
2011-07-10,85.0,68.0
2011-08-10,78.0,60.0
2011-09-10,83.0,66.0
2011-10-10,52.0,39.0
2011-11-10,31.0,26.0
2011-12-10,25.0,10.0
2012-01-10,11.0,4.0
2012-02-10,14.0,-3.0
2012-03-10,33.0,24.0
2012-04-10,59.0,41.0
2012-05-10,69.0,43.0
2012-06-10,85.0,68.0
2012-07-10,90.0,72.0
2012-08-10,91.0,69.0
2012-09-10,76.0,55.0
2012-10-10,61.0,42.0
2012-11-10,21.0,10.0
2012-12-10,38.0,12.0
