date,tmax,tmin
2000-01,17.0,2.0
2000-02,26.0,18.0
2000-03,40.1,31.0
2000-04,63.0,45.0
2000-05,87.0,59.0
2000-06,83.0,69.0
2000-07,80.1,69.0
2000-08,87.0,66.0
2000-09,81.0,61.0
2000-10,43.0,30.1
2000-11,28.0,22.0
2000-12,30.1,10.1
2001-01,22.0,11.0
2001-02,35.0,13.0
2001-03,45.0,29.0
2001-04,68.0,48.0
2001-05,84.0,63.0
2001-06,88.0,65.0
2001-07,91.0,68.0
2001-08,82.0,63.0
2001-09,68.0,49.0
2001-10,65.0,44.0
2001-11,52.0,36.0
2001-12,3.0,-3.0
2002-01,18.0,2.0
2002-02,36.0,22.0
2002-03,40.1,25.0
2002-04,59.0,38.0
2002-05,70.1,48.0
2002-06,79.0,60.1
2002-07,95.0,74.0
2002-08,77.0,60.1
2002-09,62.0,44.0
2002-10,42.0,30.1
2002-11,38.0,26.0
2002-12,22.0,15.0
2003-01,32.0,15.0
2003-02,20.1,12.0
2003-03,25.0,13.0
2003-04,31.0,20.1
2003-05,80.1,54.0
2003-06,88.0,67.0
2003-07,80.1,61.0
2003-08,91.0,70.1
2003-09,67.0,49.0
2003-10,52.0,40.1
2003-11,31.0,27.0
2003-12,23.0,4.0
2004-01,13.0,2.0
2004-02,44.0,12.0
2004-03,31.0,25.0
2004-04,79.0,63.0
2004-05,89.0,61.0
2004-06,84.0,63.0
2004-07,92.0,78.0
2004-08,88.0,69.0
2004-09,70.1,54.0
2004-10,47.0,33.0
2004-11,36.0,24.0
2004-12,26.0,22.0
2005-01,12.0,4.0
2005-02,2.0,-5.0
2005-03,42.0,27.0
2005-04,60.1,46.0
2005-05,66.0,42.0
2005-06,92.0,72.0
2005-07,79.0,58.0
2005-08,83.0,64.0
2005-09,78.0,60.1
2005-10,57.0,39.0
2005-11,39.0,28.0
2005-12,22.0,3.0
2006-01,18.0,0.1
2006-02,22.0,2.0
2006-03,28.0,19.0
2006-04,67.0,52.0
2006-05,89.0,66.0
2006-06,74.0,58.0
2006-07,84.0,69.0
2006-08,84.0,54.0
2006-09,73.0,50.1
2006-10,58.0,40.1
2006-11,44.0,32.0
2006-12,31.0,18.0
2007-01,25.0,7.0
2007-02,23.0,17.0
2007-03,45.0,30.1
2007-04,78.0,54.0
2007-05,80.1,63.0
2007-06,78.0,59.0
2007-07,69.0,59.0
2007-08,77.0,59.0
2007-09,75.0,65.0
2007-10,66.0,43.0
2007-11,43.0,31.0
2007-12,15.0,3.0
2008-01,18.0,0.1
2008-02,27.0,12.0
2008-03,63.0,43.0
2008-04,69.0,49.0
2008-05,84.0,69.0
2008-06,87.0,68.0
2008-07,90.1,72.0
2008-08,79.0,67.0
2008-09,86.0,61.0
2008-10,61.0,40.1
2008-11,34.0,28.0
2008-12,20.1,13.0
2009-01,32.0,22.0
2009-02,21.0,8.0
2009-03,59.0,42.0
2009-04,56.0,40.1
2009-05,73.0,54.0
2009-06,67.0,50.1
2009-07,82.0,62.0
2009-08,81.0,63.0
2009-09,84.0,61.0
2009-10,63.0,42.0
2009-11,18.0,7.0
2009-12,35.0,2.0
2010-01,40.1,13.0
2010-02,8.0,-4.0
2010-03,65.0,22.0
2010-04,55.0,41.0
2010-05,72.0,41.0
2010-06,94.0,73.0
2010-07,99.0,76.0
2010-08,79.0,62.0
2010-09,65.0,53.0
2010-10,63.0,48.0
2010-11,41.0,36.0
2010-12,30.1,7.0
2011-01,5.0,-9.0
2011-02,17.0,14.0
2011-03,33.0,11.0
2011-04,75.0,56.0
2011-05,83.0,53.0
2011-06,82.0,64.0
2011-07,81.0,62.0
2011-08,93.0,75.0
2011-09,71.0,60.1
2011-10,69.0,48.0
2011-11,29.0,24.0
2011-12,19.0,13.0
2012-01,23.0,14.0
2012-02,20.1,2.0
2012-03,47.0,32.0
2012-04,70.1,55.0
2012-05,77.0,57.0
2012-06,81.0,68.0
2012-07,81.0,69.0
2012-08,88.0,68.0
2012-09,74.0,56.0
2012-10,56.0,37.0
2012-11,35.0,24.0
2012-12,12.0,1.0
