date,tmax,tmin
2000-01,33.0,16.0
2000-02,43.0,24.0
2000-03,48.0,32.0
2000-04,49.0,36.0
2000-05,82.0,59.0
2000-06,86.0,58.0
2000-07,89.0,64.0
2000-08,75.0,60.0
2000-09,77.0,50.0
2000-10,59.0,39.0
2000-11,48.0,32.0
2000-12,40.0,18.0
2001-01,37.0,13.0
2001-02,44.0,19.0
2001-03,51.0,33.0
2001-04,64.0,40.0
2001-05,73.0,51.0
2001-06,89.0,66.0
2001-07,98.0,67.0
2001-08,92.0,59.0
2001-09,76.0,62.0
2001-10,59.0,46.0
2001-11,54.0,28.0
2001-12,33.0,14.0
2002-01,40.0,25.0
2002-02,55.0,37.0
2002-03,60.0,38.0
2002-04,73.0,53.0
2002-05,73.0,45.0
2002-06,90.0,61.0
2002-07,80.0,67.0
2002-08,80.0,55.0
2002-09,69.0,55.0
2002-10,73.0,45.0
2002-11,48.0,35.0
2002-12,42.0,20.0
2003-01,42.0,22.0
2003-02,44.0,33.0
2003-03,54.0,37.0
2003-04,76.0,37.0
2003-05,72.0,51.0
2003-06,84.0,54.0
2003-07,83.0,65.0
2003-08,81.0,64.0
2003-09,85.0,57.0
2003-10,54.0,40.0
2003-11,51.0,30.0
2003-12,42.0,20.0
2004-01,35.0,14.0
2004-02,56.0,12.0
2004-03,70.0,26.0
2004-04,60.0,35.0
2004-05,67.0,47.0
2004-06,76.0,51.0
2004-07,78.0,57.0
2004-08,67.0,58.0
2004-09,78.0,38.0
2004-10,58.0,47.0
2004-11,44.0,28.0
2004-12,47.0,11.0
2005-01,36.0,1.0
2005-02,39.0,23.0
2005-03,51.0,33.0
2005-04,65.0,27.0
2005-05,83.0,46.0
2005-06,84.0,54.0
2005-07,96.0,54.0
2005-08,87.0,62.0
2005-09,62.0,54.0
2005-10,59.0,30.0
2005-11,45.0,23.0
2005-12,23.0,-1.0
2006-01,35.0,11.0
2006-02,37.0,30.0
2006-03,35.0,18.0
2006-04,53.0,31.0
2006-05,72.0,33.0
2006-06,84.0,47.0
2006-07,91.0,69.0
2006-08,85.0,63.0
2006-09,75.0,40.0
2006-10,75.0,36.0
2006-11,50.0,22.0
2006-12,28.0,4.0
2007-01,32.0,23.0
2007-02,55.0,26.0
2007-03,48.0,39.0
2007-04,61.0,45.0
2007-05,76.0,56.0
2007-06,93.0,63.0
2007-07,87.0,59.0
2007-08,87.0,62.0
2007-09,78.0,49.0
2007-10,59.0,46.0
2007-11,57.0,34.0
2007-12,38.0,22.0
2008-01,35.0,18.0
2008-02,33.0,8.0
2008-03,63.0,38.0
2008-04,64.0,48.0
2008-05,83.0,54.0
2008-06,74.0,63.0
2008-07,71.0,62.0
2008-08,85.0,60.0
2008-09,81.0,53.0
2008-10,68.0,44.0
2008-11,53.0,42.0
2008-12,41.0,19.0
