date,tmax,tmin
2000-01,28.0,8.0
2000-02,42.0,24.0
2000-03,55.0,31.0
2000-04,62.0,48.0
2000-05,80.0,49.0
2000-06,99.0,71.0
2000-07,86.0,77.0
2000-08,81.0,72.0
2000-09,83.0,68.0
2000-10,58.0,44.0
2000-11,44.0,32.0
2000-12,38.0,27.0
2001-01,30.0,17.0
2001-02,51.0,31.0
2001-03,74.0,45.0
2001-04,75.0,55.0
2001-05,101.0,63.0
2001-06,87.0,66.0
2001-07,88.0,73.0
2001-08,77.0,66.0
2001-09,75.0,61.0
2001-10,64.0,46.0
2001-11,62.0,39.0
2001-12,31.0,21.0
2002-01,42.0,20.0
2002-02,51.0,21.0
2002-03,59.0,42.0
2002-04,74.0,49.0
2002-05,90.0,58.0
2002-06,89.0,69.0
2002-07,85.0,72.0
2002-08,80.0,68.0
2002-09,74.0,55.0
2002-10,52.0,44.0
2002-11,41.0,22.0
2002-12,31.0,28.0
2003-01,39.0,23.0
2003-02,51.0,33.0
2003-03,58.0,42.0
2003-04,65.0,44.0
2003-05,82.0,64.0
2003-06,89.0,72.0
2003-07,93.0,70.0
2003-08,86.0,71.0
2003-09,74.0,58.0
2003-10,63.0,42.0
2003-11,40.0,34.0
2003-12,40.0,20.0
2004-01,36.0,22.0
2004-02,55.0,35.0
2004-03,58.0,37.0
2004-04,86.0,58.0
2004-05,91.0,65.0
2004-06,79.0,67.0
2004-07,87.0,74.0
2004-08,89.0,71.0
2004-09,78.0,55.0
2004-10,75.0,51.0
2004-11,57.0,40.0
2004-12,36.0,28.0
2005-01,40.0,22.0
2005-02,24.0,15.0
2005-03,57.0,29.0
2005-04,69.0,57.0
2005-05,81.0,64.0
2005-06,87.0,69.0
2005-07,92.0,79.0
2005-08,87.0,65.0
2005-09,72.0,67.0
2005-10,68.0,45.0
2005-11,43.0,36.0
2005-12,35.0,18.0
2006-01,32.0,20.0
2006-02,55.0,23.0
2006-03,61.0,33.0
2006-04,62.0,47.0
2006-05,78.0,64.0
2006-06,92.0,81.0
2006-07,82.0,71.0
2006-08,93.0,75.0
2006-09,85.0,66.0
2006-10,73.0,51.0
2006-11,54.0,35.0
2006-12,39.0,18.0
2007-01,37.0,20.0
2007-02,52.0,25.0
2007-03,41.0,36.0
2007-04,76.0,54.0
2007-05,85.0,55.0
2007-06,82.0,69.0
2007-07,92.0,72.0
2007-08,89.0,74.0
2007-09,80.0,64.0
2007-10,64.0,38.0
2007-11,49.0,32.0
2007-12,45.0,25.0
2008-01,28.0,17.0
2008-02,54.0,23.0
2008-03,55.0,34.0
2008-04,72.0,61.0
2008-05,82.0,58.0
2008-06,86.0,69.0
2008-07,88.0,72.0
2008-08,87.0,71.0
2008-09,75.0,66.0
2008-10,76.0,50.0
2008-11,40.0,22.0
2008-12,44.0,24.0
2009-01,43.0,20.0
2009-02,34.0,22.0
2009-03,75.0,49.0
2009-04,64.0,51.0
2009-05,96.0,65.0
2009-06,88.0,73.0
2009-07,88.0,75.0
2009-08,82.0,72.0
2009-09,73.0,65.0
2009-10,60.0,43.0
2009-11,38.0,25.0
2009-12,30.0,18.0
2010-01,36.0,32.0
2010-02,51.0,20.0
2010-03,47.0,38.0
2010-04,63.0,55.0
2010-05,90.0,56.0
2010-06,88.0,65.0
2010-07,87.0,73.0
2010-08,82.0,70.0
2010-09,75.0,60.0
2010-10,53.0,44.0
2010-11,57.0,34.0
2010-12,53.0,26.0
2011-01,33.0,14.0
2011-02,52.0,25.0
2011-03,58.0,36.0
2011-04,71.0,45.0
2011-05,77.0,62.0
2011-06,92.0,69.0
2011-07,86.0,74.0
2011-08,85.0,69.0
2011-09,74.0,50.0
2011-10,65.0,51.0
2011-11,49.0,36.0
2011-12,38.0,22.0
2012-01,35.0,27.0
2012-02,46.0,16.0
2012-03,44.0,33.0
2012-04,69.0,56.0
2012-05,87.0,69.0
2012-06,86.0,70.0
2012-07,88.0,76.0
2012-08,88.0,70.0
2012-09,84.0,59.0
2012-10,67.0,43.0
2012-11,49.0,35.0
2012-12,27.0,21.0
