date,tmax,tmin
2000-01,51.0,44.0
2000-02,38.0,35.0
2000-03,53.0,45.0
2000-04,62.0,52.0
2000-05,93.0,65.0
2000-06,81.0,65.0
2000-07,89.0,79.0
2000-08,91.0,78.0
2000-09,86.0,75.0
2000-10,78.0,63.0
2000-11,72.0,47.0
2000-12,56.0,36.0
2001-01,45.0,41.0
2001-02,47.0,43.0
2001-03,62.0,38.0
2001-04,70.0,47.0
2001-05,74.0,62.0
2001-06,73.0,66.0
2001-07,96.0,82.0
2001-08,90.0,80.0
2001-09,87.0,75.0
2001-10,71.0,53.0
2001-11,62.0,55.0
2001-12,51.0,42.0
2002-01,63.0,31.0
2002-02,55.0,32.0
2002-03,44.0,38.0
2002-04,74.0,60.0
2002-05,63.0,59.0
2002-06,90.0,72.0
2002-07,83.0,75.0
2002-08,93.0,80.0
2002-09,84.0,76.0
2002-10,89.0,66.0
2002-11,69.0,38.0
2002-12,54.0,50.0
2003-01,32.0,21.0
2003-02,47.0,28.0
2003-03,40.0,34.0
2003-04,64.0,48.0
2003-05,72.0,63.0
2003-06,92.0,66.0
2003-07,83.0,74.0
2003-08,97.0,82.0
2003-09,92.0,81.0
2003-10,64.0,58.0
2003-11,74.0,54.0
2003-12,55.0,45.0
2004-01,50.0,47.0
2004-02,48.0,30.0
2004-03,56.0,45.0
2004-04,74.0,45.0
2004-05,78.0,52.0
2004-06,79.0,69.0
2004-07,96.0,76.0
2004-08,89.0,80.0
2004-09,78.0,73.0
2004-10,73.0,53.0
2004-11,76.0,57.0
2004-12,55.0,40.0
2005-01,40.0,30.0
2005-02,43.0,40.0
2005-03,49.0,30.0
2005-04,84.0,49.0
2005-05,79.0,70.0
2005-06,89.0,68.0
2005-07,92.0,80.0
2005-08,92.0,77.0
2005-09,81.0,70.0
2005-10,64.0,59.0
2005-11,72.0,68.0
2005-12,37.0,26.0
2006-01,33.0,27.0
2006-02,34.0,31.0
2006-03,73.0,41.0
2006-04,67.0,53.0
2006-05,81.0,68.0
2006-06,79.0,65.0
2006-07,80.0,74.0
2006-08,92.0,79.0
2006-09,81.0,64.0
2006-10,83.0,62.0
2006-11,70.0,54.0
2006-12,54.0,37.0
2007-01,46.0,32.0
2007-02,70.0,42.0
2007-03,47.0,37.0
2007-04,61.0,51.0
2007-05,87.0,63.0
2007-06,83.0,67.0
2007-07,92.0,75.0
2007-08,93.0,78.0
2007-09,83.0,69.0
2007-10,84.0,72.0
2007-11,67.0,50.0
2007-12,49.0,37.0
2008-01,56.0,31.0
2008-02,37.0,31.0
2008-03,61.0,38.0
2008-04,69.0,54.0
2008-05,77.0,58.0
2008-06,84.0,59.0
2008-07,97.0,83.0
2008-08,93.0,80.0
2008-09,78.0,69.0
2008-10,74.0,62.0
2008-11,78.0,59.0
2008-12,44.0,30.0
2009-01,42.0,36.0
2009-02,54.0,35.0
2009-03,45.0,42.0
2009-04,68.0,48.0
2009-05,78.0,58.0
2009-06,93.0,68.0
2009-07,88.0,76.0
2009-08,89.0,77.0
2009-09,89.0,75.0
2009-10,83.0,63.0
2009-11,72.0,50.0
2009-12,49.0,36.0
2010-01,34.0,23.0
2010-02,46.0,39.0
2010-03,43.0,40.0
2010-04,75.0,49.0
2010-05,77.0,68.0
2010-06,80.0,66.0
2010-07,85.0,78.0
2010-08,98.0,85.0
2010-09,90.0,75.0
2010-10,77.0,54.0
2010-11,67.0,45.0
2010-12,71.0,44.0
2011-01,38.0,30.0
2011-02,61.0,33.0
2011-03,50.0,36.0
2011-04,60.0,42.0
2011-05,77.0,53.0
2011-06,80.0,69.0
2011-07,87.0,78.0
2011-08,91.0,79.0
2011-09,84.0,71.0
2011-10,74.0,59.0
2011-11,71.0,67.0
2011-12,55.0,48.0
2012-01,42.0,23.0
2012-02,53.0,39.0
2012-03,42.0,38.0
2012-04,72.0,51.0
2012-05,89.0,64.0
2012-06,85.0,70.0
2012-07,97.0,79.0
2012-08,93.0,78.0
2012-09,83.0,65.0
2012-10,73.0,64.0
2012-11,58.0,37.0
2012-12,52.0,38.0
