date,tmax,tmin
2000-01,59.0,50.0
2000-02,57.0,48.0
2000-03,63.0,57.0
2000-04,94.0,72.0
2000-05,92.0,73.0
2000-06,86.0,79.0
2000-07,95.0,75.0
2000-08,97.0,77.0
2000-09,90.0,72.0
2000-10,90.0,70.0
2000-11,71.0,63.0
2000-12,75.0,39.0
2001-01,73.0,49.0
2001-02,56.0,49.0
2001-03,78.0,63.0
2001-04,70.0,60.0
2001-05,85.0,74.0
2001-06,90.0,78.0
2001-07,96.0,76.0
2001-08,92.0,77.0
2001-09,89.0,69.0
2001-10,87.0,69.0
2001-11,77.0,48.0
2001-12,68.0,36.0
2002-01,51.0,47.0
2002-02,76.0,61.0
2002-03,65.0,57.0
2002-04,84.0,72.0
2002-05,85.0,71.0
2002-06,88.0,78.0
2002-07,87.0,76.0
2002-08,93.0,75.0
2002-09,84.0,67.0
2002-10,80.0,60.0
2002-11,66.0,54.0
2002-12,61.0,51.0
2003-01,80.0,62.0
2003-02,81.0,65.0
2003-03,76.0,58.0
2003-04,86.0,69.0
2003-05,85.0,74.0
2003-06,95.0,78.0
2003-07,82.0,75.0
2003-08,86.0,75.0
2003-09,90.0,66.0
2003-10,86.0,67.0
2003-11,82.0,58.0
2003-12,74.0,55.0
2004-01,57.0,43.0
2004-02,59.0,56.0
2004-03,61.0,54.0
2004-04,89.0,77.0
2004-05,93.0,69.0
2004-06,93.0,80.0
2004-07,93.0,74.0
2004-08,95.0,77.0
2004-09,91.0,73.0
2004-10,86.0,58.0
2004-11,82.0,65.0
2004-12,49.0,47.0
2005-01,78.0,62.0
2005-02,75.0,56.0
2005-03,62.0,55.0
2005-04,82.0,68.0
2005-05,90.0,74.0
2005-06,90.0,78.0
2005-07,92.0,75.0
2005-08,86.0,76.0
2005-09,91.0,74.0
2005-10,77.0,62.0
2005-11,76.0,48.0
2005-12,65.0,55.0
2006-01,58.0,38.0
2006-02,57.0,51.0
2006-03,66.0,59.0
2006-04,89.0,73.0
2006-05,85.0,76.0
2006-06,95.0,77.0
2006-07,87.0,80.0
2006-08,91.0,76.0
2006-09,88.0,75.0
2006-10,90.0,73.0
2006-11,83.0,65.0
2006-12,74.0,39.0
2007-01,64.0,49.0
2007-02,78.0,63.0
2007-03,82.0,70.0
2007-04,79.0,63.0
2007-05,82.0,73.0
2007-06,96.0,76.0
2007-07,93.0,76.0
2007-08,92.0,76.0
2007-09,78.0,70.0
2007-10,89.0,62.0
2007-11,78.0,48.0
2007-12,59.0,55.0
2008-01,44.0,42.0
2008-02,70.0,62.0
2008-03,73.0,64.0
2008-04,74.0,63.0
2008-05,93.0,78.0
2008-06,88.0,75.0
2008-07,92.0,78.0
2008-08,89.0,76.0
2008-09,78.0,74.0
2008-10,82.0,66.0
2008-11,74.0,49.0
2008-12,66.0,53.0
2009-01,44.0,41.0
2009-02,91.0,67.0
2009-03,71.0,64.0
2009-04,79.0,70.0
2009-05,82.0,73.0
2009-06,91.0,78.0
2009-07,93.0,80.0
2009-08,95.0,78.0
2009-09,93.0,76.0
2009-10,85.0,71.0
2009-11,81.0,51.0
2009-12,69.0,63.0
2010-01,62.0,50.0
2010-02,95.0,59.0
2010-03,69.0,55.0
2010-04,73.0,68.0
2010-05,88.0,69.0
2010-06,80.0,75.0
2010-07,87.0,76.0
2010-08,83.0,77.0
2010-09,86.0,70.0
2010-10,84.0,63.0
2010-11,67.0,58.0
2010-12,67.0,50.0
2011-01,47.0,43.0
2011-02,73.0,62.0
2011-03,61.0,51.0
2011-04,88.0,63.0
2011-05,84.0,69.0
2011-06,90.0,78.0
2011-07,96.0,77.0
2011-08,85.0,75.0
2011-09,89.0,65.0
2011-10,77.0,68.0
2011-11,78.0,55.0
2011-12,64.0,34.0
2012-01,51.0,42.0
2012-02,63.0,57.0
2012-03,75.0,58.0
2012-04,96.0,75.0
2012-05,79.0,72.0
2012-06,85.0,79.0
2012-07,79.0,76.0
2012-08,90.0,74.0
2012-09,85.0,74.0
2012-10,86.0,68.0
2012-11,68.0,57.0
2012-12,62.0,43.0
