date,tmax,tmin
2000-01,39.0,37.0
2000-02,55.0,42.0
2000-03,57.0,52.0
2000-04,67.0,51.0
2000-05,95.0,75.0
2000-06,85.0,71.0
2000-07,100.0,82.0
2000-08,93.0,76.0
2000-09,84.0,69.0
2000-10,69.0,55.0
2000-11,56.0,51.0
2000-12,48.0,42.0
2001-01,44.0,32.0
2001-02,56.0,34.0
2001-03,68.0,50.0
2001-04,69.0,59.0
2001-05,83.0,74.0
2001-06,89.0,71.0
2001-07,84.0,75.0
2001-08,82.0,76.0
2001-09,87.0,73.0
2001-10,80.0,67.0
2001-11,63.0,43.0
2001-12,46.0,40.0
2002-01,67.0,61.0
2002-02,51.0,45.0
2002-03,65.0,58.0
2002-04,86.0,70.0
2002-05,80.0,65.0
2002-06,81.0,72.0
2002-07,100.0,85.0
2002-08,82.0,74.0
2002-09,72.0,66.0
2002-10,85.0,67.0
2002-11,58.0,54.0
2002-12,58.0,48.0
2003-01,49.0,40.0
2003-02,43.0,41.0
2003-03,52.0,48.0
2003-04,77.0,56.0
2003-05,81.0,68.0
2003-06,88.0,71.0
2003-07,101.0,84.0
2003-08,88.0,78.0
2003-09,85.0,75.0
2003-10,71.0,54.0
2003-11,72.0,59.0
2003-12,55.0,37.0
2004-01,46.0,42.0
2004-02,74.0,47.0
2004-03,75.0,49.0
2004-04,74.0,60.0
2004-05,69.0,66.0
2004-06,84.0,71.0
2004-07,92.0,77.0
2004-08,94.0,76.0
2004-09,87.0,70.0
2004-10,81.0,66.0
2004-11,63.0,52.0
2004-12,69.0,48.0
2005-01,43.0,32.0
2005-02,46.0,41.0
2005-03,56.0,40.0
2005-04,81.0,61.0
2005-05,81.0,69.0
2005-06,92.0,78.0
2005-07,97.0,79.0
2005-08,95.0,78.0
2005-09,94.0,78.0
2005-10,67.0,62.0
2005-11,53.0,49.0
2005-12,47.0,34.0
2006-01,46.0,43.0
2006-02,68.0,50.0
2006-03,48.0,44.0
2006-04,58.0,47.0
2006-05,76.0,63.0
2006-06,84.0,73.0
2006-07,86.0,81.0
2006-08,99.0,81.0
2006-09,75.0,69.0
2006-10,85.0,68.0
2006-11,64.0,54.0
2006-12,51.0,36.0
2007-01,42.0,37.0
2007-02,53.0,47.0
2007-03,55.0,51.0
2007-04,76.0,62.0
2007-05,86.0,71.0
2007-06,80.0,68.0
2007-07,90.0,77.0
2007-08,86.0,72.0
2007-09,82.0,72.0
2007-10,65.0,58.0
2007-11,76.0,59.0
2007-12,56.0,48.0
2008-01,33.0,31.0
2008-02,54.0,31.0
2008-03,65.0,56.0
2008-04,61.0,59.0
2008-05,83.0,65.0
2008-06,81.0,71.0
2008-07,96.0,82.0
2008-08,95.0,82.0
2008-09,89.0,77.0
2008-10,83.0,65.0
2008-11,72.0,54.0
2008-12,54.0,38.0
2009-01,51.0,35.0
2009-02,55.0,47.0
2009-03,68.0,40.0
2009-04,87.0,62.0
2009-05,94.0,73.0
2009-06,92.0,78.0
2009-07,92.0,82.0
2009-08,96.0,78.0
2009-09,84.0,74.0
2009-10,79.0,62.0
2009-11,48.0,42.0
2009-12,46.0,39.0
2010-01,51.0,41.0
2010-02,36.0,35.0
2010-03,63.0,51.0
2010-04,52.0,42.0
2010-05,74.0,64.0
2010-06,85.0,70.0
2010-07,86.0,79.0
2010-08,101.0,86.0
2010-09,93.0,79.0
2010-10,72.0,61.0
2010-11,60.0,50.0
2010-12,41.0,31.0
2011-01,46.0,37.0
2011-02,41.0,35.0
2011-03,64.0,40.0
2011-04,88.0,71.0
2011-05,80.0,66.0
2011-06,79.0,70.0
2011-07,86.0,76.0
2011-08,97.0,83.0
2011-09,97.0,80.0
2011-10,81.0,63.0
2011-11,72.0,57.0
2011-12,51.0,45.0
2012-01,41.0,40.0
2012-02,43.0,40.0
2012-03,58.0,52.0
2012-04,63.0,57.0
2012-05,80.0,65.0
2012-06,92.0,75.0
2012-07,83.0,78.0
2012-08,97.0,84.0
2012-09,80.0,63.0
2012-10,78.0,67.0
2012-11,63.0,49.0
2012-12,53.0,44.0
