date,tmax,tmin
2000-01,38.0,34.0
2000-02,37.0,30.0
2000-03,66.0,44.0
2000-04,68.0,48.0
2000-05,85.0,58.0
2000-06,87.0,70.0
2000-07,92.0,79.0
2000-08,92.0,78.0
2000-09,80.0,66.0
2000-10,80.0,62.0
2000-11,73.0,53.0
2000-12,57.0,40.0
2001-01,51.0,43.0
2001-02,44.0,38.0
2001-03,61.0,46.0
2001-04,71.0,52.0
2001-05,71.0,62.0
2001-06,81.0,66.0
2001-07,93.0,80.0
2001-08,98.0,83.0
2001-09,87.0,69.0
2001-10,75.0,61.0
2001-11,59.0,39.0
2001-12,42.0,32.0
2002-01,65.0,37.0
2002-02,63.0,40.0
2002-03,61.0,41.0
2002-04,75.0,58.0
2002-05,64.0,53.0
2002-06,94.0,75.0
2002-07,88.0,76.0
2002-08,96.0,83.0
2002-09,82.0,67.0
2002-10,75.0,61.0
2002-11,72.0,50.0
2002-12,49.0,44.0
2003-01,35.0,26.0
2003-02,52.0,33.0
2003-03,36.0,32.0
2003-04,70.0,52.0
2003-05,85.0,67.0
2003-06,92.0,75.0
2003-07,85.0,75.0
2003-08,96.0,79.0
2003-09,94.0,79.0
2003-10,60.0,58.0
2003-11,82.0,59.0
2003-12,44.0,41.0
2004-01,51.0,42.0
2004-02,50.0,25.0
2004-03,50.0,35.0
2004-04,80.0,59.0
2004-05,81.0,56.0
2004-06,74.0,64.0
2004-07,86.0,73.0
2004-08,94.0,78.0
2004-09,84.0,72.0
2004-10,74.0,60.0
2004-11,69.0,49.0
2004-12,58.0,35.0
2005-01,48.0,25.0
2005-02,39.0,37.0
2005-03,61.0,31.0
2005-04,80.0,64.0
2005-05,73.0,56.0
2005-06,83.0,70.0
2005-07,83.0,69.0
2005-08,82.0,78.0
2005-09,82.0,66.0
2005-10,73.0,63.0
2005-11,70.0,58.0
2005-12,41.0,24.0
2006-01,34.0,25.0
2006-02,39.0,30.0
2006-03,72.0,49.0
2006-04,69.0,51.0
2006-05,72.0,64.0
2006-06,83.0,67.0
2006-07,89.0,73.0
2006-08,90.0,76.0
2006-09,73.0,62.0
2006-10,84.0,61.0
2006-11,68.0,49.0
2006-12,51.0,44.0
2007-01,41.0,32.0
2007-02,72.0,44.0
2007-03,43.0,31.0
2007-04,69.0,47.0
2007-05,83.0,61.0
2007-06,87.0,69.0
2007-07,94.0,78.0
2007-08,94.0,80.0
2007-09,84.0,65.0
2007-10,87.0,71.0
2007-11,65.0,48.0
2007-12,49.0,41.0
2008-01,54.0,37.0
2008-02,35.0,27.0
2008-03,54.0,46.0
2008-04,71.0,60.0
2008-05,83.0,66.0
2008-06,90.0,67.0
2008-07,96.0,78.0
2008-08,94.0,80.0
2008-09,86.0,68.0
2008-10,70.0,58.0
2008-11,68.0,63.0
2008-12,44.0,23.0
2009-01,41.0,33.0
2009-02,53.0,47.0
2009-03,55.0,34.0
2009-04,73.0,47.0
2009-05,84.0,60.0
2009-06,88.0,66.0
2009-07,89.0,80.0
2009-08,85.0,79.0
2009-09,93.0,76.0
2009-10,87.0,61.0
2009-11,74.0,52.0
2009-12,54.0,32.0
2010-01,39.0,25.0
2010-02,46.0,42.0
2010-03,42.0,32.0
2010-04,65.0,53.0
2010-05,76.0,67.0
2010-06,85.0,67.0
2010-07,93.0,76.0
2010-08,94.0,81.0
2010-09,90.0,76.0
2010-10,77.0,54.0
2010-11,71.0,45.0
2010-12,65.0,47.0
2011-01,38.0,27.0
2011-02,65.0,42.0
2011-03,49.0,45.0
2011-04,58.0,49.0
2011-05,87.0,61.0
2011-06,78.0,67.0
2011-07,97.0,82.0
2011-08,90.0,79.0
2011-09,81.0,73.0
2011-10,80.0,57.0
2011-11,65.0,62.0
2011-12,53.0,47.0
2012-01,45.0,31.0
2012-02,48.0,42.0
2012-03,55.0,31.0
2012-04,78.0,53.0
2012-05,91.0,65.0
2012-06,79.0,71.0
2012-07,92.0,80.0
2012-08,96.0,79.0
2012-09,83.0,68.0
2012-10,80.0,60.0
2012-11,61.0,37.0
2012-12,53.0,34.0
