date,tmax,tmin
2000-01,15.0,-3.0
2000-02,29.0,19.0
2000-03,51.0,22.0
2000-04,58.0,42.0
2000-05,77.0,47.0
2000-06,91.0,58.0
2000-07,92.0,66.0
2000-08,83.0,63.0
2000-09,76.0,47.0
2000-10,49.0,24.0
2000-11,38.0,13.0
2000-12,25.0,6.0
2001-01,16.0,-4.0
2001-02,31.0,15.0
2001-03,61.0,30.0
2001-04,53.0,30.0
2001-05,85.0,60.0
2001-06,86.0,58.0
2001-07,92.0,62.0
2001-08,82.0,69.0
2001-09,77.0,59.0
2001-10,67.0,40.0
2001-11,36.0,20.0
2001-12,15.0,-6.0
2002-01,42.0,16.0
2002-02,44.0,19.0
2002-03,56.0,40.0
2002-04,77.0,40.0
2002-05,71.0,55.0
2002-06,80.0,53.0
2002-07,89.0,71.0
2002-08,83.0,58.0
2002-09,71.0,42.0
2002-10,65.0,33.0
2002-11,36.0,15.0
2002-12,35.0,10.0
2003-01,25.0,2.0
2003-02,31.0,5.0
2003-03,32.0,24.0
2003-04,56.0,30.0
2003-05,70.0,55.0
2003-06,79.0,48.0
2003-07,81.0,66.0
2003-08,82.0,58.0
2003-09,86.0,56.0
2003-10,51.0,33.0
2003-11,31.0,24.0
2003-12,27.0,6.0
2004-01,18.0,0.1
2004-02,36.0,22.0
2004-03,50.0,24.0
2004-04,63.0,34.0
2004-05,72.0,44.0
2004-06,83.0,61.0
2004-07,82.0,59.0
2004-08,79.0,54.0
2004-09,72.0,54.0
2004-10,58.0,35.0
2004-11,40.0,23.0
2004-12,37.0,14.0
2005-01,13.0,2.0
2005-02,40.0,7.0
2005-03,37.0,12.0
2005-04,65.0,31.0
2005-05,85.0,57.0
2005-06,80.0,57.0
2005-07,94.0,69.0
2005-08,83.0,72.0
2005-09,74.0,52.0
2005-10,50.0,37.0
2005-11,42.0,21.0
2005-12,15.0,0.1
2006-01,29.0,13.0
2006-02,44.0,27.0
2006-03,38.0,15.0
2006-04,52.0,26.0
2006-05,67.0,37.0
2006-06,76.0,49.0
2006-07,92.0,65.0
2006-08,74.0,64.0
2006-09,74.0,50.0
2006-10,72.0,43.0
2006-11,42.0,31.0
2006-12,23.0,9.0
2007-01,25.0,4.0
2007-02,28.0,20.0
2007-03,52.0,20.0
2007-04,63.0,36.0
2007-05,80.0,48.0
2007-06,77.0,63.0
2007-07,86.0,72.0
2007-08,87.0,62.0
2007-09,68.0,57.0
2007-10,52.0,41.0
2007-11,47.0,38.0
2007-12,24.0,7.0
2008-01,23.0,9.0
2008-02,18.0,-2.0
2008-03,43.0,22.0
2008-04,64.0,37.0
2008-05,65.0,36.0
2008-06,73.0,55.0
2008-07,86.0,61.0
2008-08,74.0,63.0
2008-09,77.0,53.0
2008-10,67.0,40.0
2008-11,39.0,28.0
2008-12,26.0,10.0
2009-01,21.0,0.1
2009-02,46.0,25.0
2009-03,25.0,7.0
2009-04,71.0,48.0
2009-05,73.0,47.0
2009-06,83.0,56.0
2009-07,84.0,70.0
2009-08,92.0,59.0
2009-09,67.0,45.0
2009-10,59.0,34.0
2009-11,27.0,17.0
2009-12,24.0,18.0
2010-01,7.0,-11.0
2010-02,25.0,4.0
2010-03,53.0,23.0
2010-04,40.0,19.0
2010-05,76.0,58.0
2010-06,87.0,63.0
2010-07,91.0,69.0
2010-08,82.0,61.0
2010-09,82.0,55.0
2010-10,59.0,35.0
2010-11,33.0,19.0
2010-12,14.0,3.0
2011-01,20.0,2.0
2011-02,22.0,6.0
2011-03,47.0,25.0
2011-04,71.0,39.0
2011-05,67.0,39.0
2011-06,87.0,57.0
2011-07,90.0,58.0
2011-08,89.0,71.0
2011-09,78.0,59.0
2011-10,51.0,42.0
2011-11,40.0,22.0
2011-12,29.0,13.0
2012-01,25.0,5.0
2012-02,35.0,15.0
2012-03,47.0,19.0
2012-04,67.0,38.0
2012-05,62.0,44.0
2012-06,76.0,59.0
2012-07,84.0,62.0
2012-08,78.0,58.0
2012-09,60.0,44.0
2012-10,55.0,31.0
2012-11,28.0,13.0
2012-12,39.0,15.0
