date,tmax,tmin
2000-01,9.0,-10.0
2000-02,12.0,-9.0
2000-03,36.0,11.0
2000-04,45.0,28.0
2000-05,69.0,42.0
2000-06,78.0,55.0
2000-07,80.0,63.0
2000-08,84.0,62.0
2000-09,79.0,69.0
2000-10,67.0,42.0
2000-11,53.0,27.0
2000-12,22.0,-3.0
2001-01,-7.0,-28.0
2001-02,7.0,-8.0
2001-03,26.0,3.0
2001-04,46.0,33.0
2001-05,72.0,49.0
2001-06,81.0,47.0
2001-07,78.0,61.0
2001-08,79.0,68.0
2001-09,76.0,63.0
2001-10,73.0,43.0
2001-11,36.0,22.0
2001-12,20.0,11.0
2002-01,4.0,-7.0
2002-02,21.0,9.0
2002-03,28.0,9.0
2002-04,62.0,45.0
2002-05,73.0,41.0
2002-06,72.0,49.0
2002-07,90.0,66.0
2002-08,77.0,67.0
2002-09,81.0,60.0
2002-10,73.0,55.0
2002-11,34.0,24.0
2002-12,29.0,6.0
2003-01,0.1,-14.0
2003-02,17.0,-7.0
2003-03,36.0,18.0
2003-04,58.0,29.0
2003-05,81.0,47.0
2003-06,76.0,47.0
2003-07,89.0,64.0
2003-08,78.0,67.0
2003-09,84.0,60.0
2003-10,64.0,49.0
2003-11,63.0,48.0
2003-12,11.0,3.0
2004-01,18.0,6.0
2004-02,14.0,1.0
2004-03,15.0,3.0
2004-04,40.0,27.0
2004-05,69.0,39.0
2004-06,79.0,51.0
2004-07,73.0,62.0
2004-08,85.0,63.0
2004-09,66.0,55.0
2004-10,48.0,40.0
2004-11,42.0,33.0
2004-12,34.0,11.0
2005-01,9.0,-11.0
2005-02,16.0,1.0
2005-03,18.0,-2.0
2005-04,50.0,31.0
2005-05,63.0,42.0
2005-06,78.0,61.0
2005-07,76.0,64.0
2005-08,75.0,69.0
2005-09,62.0,49.0
2005-10,65.0,42.0
2005-11,57.0,41.0
2005-12,15.0,2.0
2006-01,13.0,1.0
2006-02,5.0,-10.0
2006-03,29.0,14.0
2006-04,47.0,25.0
2006-05,59.0,39.0
2006-06,87.0,60.0
2006-07,87.0,60.0
2006-08,81.0,69.0
2006-09,73.0,58.0
2006-10,76.0,51.0
2006-11,52.0,26.0
2006-12,17.0,1.0
2007-01,23.0,9.0
2007-02,6.0,0.1
2007-03,52.0,31.0
2007-04,34.0,20.0
2007-05,72.0,53.0
2007-06,73.0,61.0
2007-07,82.0,66.0
2007-08,81.0,58.0
2007-09,85.0,56.0
2007-10,71.0,40.0
2007-11,39.0,26.0
2007-12,28.0,17.0
2008-01,10.0,-7.0
2008-02,20.0,-2.0
2008-03,36.0,16.0
2008-04,58.0,35.0
2008-05,68.0,48.0
2008-06,63.0,48.0
2008-07,73.0,68.0
2008-08,80.0,66.0
2008-09,79.0,61.0
2008-10,65.0,36.0
2008-11,56.0,34.0
2008-12,44.0,28.0
2009-01,13.0,-2.0
2009-02,23.0,0.1
2009-03,23.0,4.0
2009-04,52.0,26.0
2009-05,75.0,53.0
2009-06,73.0,50.0
2009-07,76.0,64.0
2009-08,86.0,67.0
2009-09,81.0,55.0
2009-10,65.0,47.0
2009-11,25.0,11.0
2009-12,21.0,8.0
2010-01,-8.0,-25.0
2010-02,2.0,-9.0
2010-03,19.0,-9.0
2010-04,44.0,29.0
2010-05,71.0,41.0
2010-06,83.0,57.0
2010-07,88.0,74.0
2010-08,79.0,63.0
2010-09,80.0,53.0
2010-10,56.0,37.0
2010-11,46.0,27.0
2010-12,21.0,7.0
2011-01,13.0,3.0
2011-02,22.0,-3.0
2011-03,19.0,-4.0
2011-04,47.0,29.0
2011-05,60.0,46.0
2011-06,60.0,52.0
2011-07,83.0,69.0
2011-08,85.0,66.0
2011-09,73.0,53.0
2011-10,54.0,33.0
2011-11,60.0,48.0
2011-12,20.0,0.1
2012-01,5.0,-7.0
2012-02,2.0,-16.0
2012-03,27.0,5.0
2012-04,33.0,18.0
2012-05,66.0,38.0
2012-06,78.0,58.0
2012-07,87.0,68.0
2012-08,76.0,58.0
2012-09,85.0,56.0
2012-10,69.0,36.0
2012-11,35.0,22.0
2012-12,6.0,-10.0
