date,tmax,tmin
2000-01,23.0,9.0
2000-03,59.0,44.0
2000-05,79.0,65.0
2000-07,96.0,71.0
2000-08,83.0,70.0
2000-10,58.0,42.0
2000-12,39.0,19.0
2001-01,40.0,25.0
2001-03,60.0,34.0
2001-05,90.0,57.0
2001-07,91.0,75.0
2001-08,89.0,68.0
2001-10,66.0,51.0
2001-12,41.0,21.0
2002-01,49.0,23.0
2002-03,85.0,51.0
2002-05,92.0,63.0
2002-07,96.0,80.0
2002-08,88.0,75.0
2002-10,50.0,38.0
2002-12,29.0,11.0
2003-01,35.0,20.0
2003-03,64.0,51.0
2003-05,85.0,65.0
2003-07,85.0,74.0
2003-08,82.0,60.0
2003-10,65.0,47.0
2003-12,44.0,18.0
2004-01,36.0,24.0
2004-03,53.0,44.0
2004-05,88.0,57.0
2004-07,84.0,68.0
2004-08,90.0,64.0
2004-10,61.0,51.0
2004-12,28.0,15.0
2005-01,28.0,16.0
2005-03,62.0,48.0
2005-05,92.0,74.0
2005-07,85.0,75.0
2005-08,86.0,73.0
2005-10,69.0,42.0
2005-12,33.0,22.0
2006-01,35.0,19.0
2006-03,68.0,38.0
2006-05,90.0,72.0
2006-07,86.0,73.0
2006-08,84.0,70.0
2006-10,75.0,48.0
2006-12,30.0,24.0
2007-01,33.0,26.0
2007-03,63.0,42.0
2007-05,70.0,64.0
2007-07,85.0,72.0
2007-08,86.0,70.0
2007-10,55.0,41.0
2007-12,35.0,26.0
2008-01,36.0,16.0
2008-03,63.0,39.0
2008-05,94.0,64.0
2008-07,87.0,80.0
2008-08,82.0,65.0
2008-10,62.0,43.0
2008-12,32.0,21.0
2009-01,39.0,18.0
2009-03,52.0,32.0
2009-05,90.0,61.0
2009-07,85.0,69.0
2009-08,83.0,63.0
2009-10,51.0,39.0
2009-12,27.0,11.0
2010-01,44.0,22.0
2010-03,65.0,45.0
2010-05,80.0,63.0
2010-07,100.0,83.0
2010-08,88.0,73.0
2010-10,68.0,40.0
2010-12,26.0,16.0
2011-01,46.0,15.0
2011-03,73.0,48.0
2011-05,85.0,62.0
2011-07,94.0,74.0
2011-08,89.0,73.0
2011-10,66.0,54.0
2011-12,39.0,24.0
2012-01,32.0,21.0
2012-03,56.0,44.0
2012-05,83.0,60.0
2012-07,78.0,68.0
2012-08,92.0,76.0
2012-10,58.0,40.0
2012-12,35.0,12.0
