date,tmax,tmin
2000-01,34.0,23.0
2000-02,47.0,22.0
2000-03,60.0,29.0
2000-04,68.0,34.0
2000-05,71.0,49.0
2000-06,89.0,58.0
2000-07,87.0,62.0
2000-08,87.0,67.0
2000-09,75.0,44.0
2000-10,55.0,46.0
2000-11,39.0,20.0
2000-12,31.0,22.0
2001-01,36.0,10.0
2001-02,30.0,16.0
2001-03,59.0,24.0
2001-04,55.0,30.0
2001-05,81.0,53.0
2001-06,79.0,63.0
2001-07,93.0,66.0
2001-08,80.0,62.0
2001-09,79.0,53.0
2001-10,71.0,45.0
2001-11,55.0,29.0
2001-12,31.0,27.0
2002-01,53.0,21.0
2002-02,49.0,16.0
2002-03,63.0,37.0
2002-04,68.0,34.0
2002-05,85.0,54.0
2002-06,82.0,50.0
2002-07,94.0,72.0
2002-08,80.0,58.0
2002-09,73.0,56.0
2002-10,75.0,43.0
2002-11,60.0,41.0
2002-12,36.0,15.0
2003-01,37.0,7.0
2003-02,31.0,10.0
2003-03,48.0,36.0
2003-04,69.0,37.0
2003-05,82.0,53.0
2003-06,75.0,51.0
2003-07,84.0,61.0
2003-08,84.0,57.0
2003-09,82.0,48.0
2003-10,53.0,49.0
2003-11,33.0,24.0
2003-12,34.0,17.0
2004-01,42.0,20.0
2004-02,49.0,24.0
2004-03,56.0,43.0
2004-04,81.0,45.0
2004-05,69.0,56.0
2004-06,90.0,62.0
2004-07,79.0,64.0
2004-08,85.0,74.0
2004-09,77.0,59.0
2004-10,67.0,42.0
2004-11,52.0,36.0
2004-12,45.0,21.0
2005-01,32.0,16.0
2005-02,34.0,16.0
2005-03,38.0,17.0
2005-04,58.0,40.0
2005-05,83.0,54.0
2005-06,91.0,61.0
2005-07,91.0,68.0
2005-08,95.0,70.0
2005-09,87.0,57.0
2005-10,68.0,48.0
2005-11,60.0,29.0
2005-12,33.0,19.0
2006-01,39.0,16.0
2006-02,51.0,22.0
2006-03,59.0,30.0
2006-04,72.0,33.0
2006-05,65.0,44.0
2006-06,91.0,54.0
2006-07,92.0,70.0
2006-08,90.0,74.0
2006-09,78.0,47.0
2006-10,73.0,51.0
2006-11,59.0,26.0
2006-12,45.0,18.0
2007-01,34.0,11.0
2007-02,46.0,23.0
2007-03,42.0,16.0
2007-04,72.0,49.0
2007-05,74.0,58.0
2007-06,92.0,63.0
2007-07,95.0,63.0
2007-08,86.0,62.0
2007-09,87.0,53.0
2007-10,54.0,45.0
2007-11,56.0,27.0
2007-12,39.0,29.0
2008-01,37.0,17.0
2008-02,34.0,21.0
2008-03,69.0,31.0
2008-04,54.0,43.0
2008-05,64.0,48.0
2008-06,85.0,64.0
2008-07,84.0,72.0
2008-08,86.0,66.0
2008-09,79.0,50.0
2008-10,69.0,45.0
2008-11,47.0,28.0
2008-12,48.0,20.0
2009-01,29.0,16.0
2009-02,62.0,24.0
2009-03,49.0,36.0
2009-04,77.0,46.0
2009-05,66.0,56.0
2009-06,91.0,59.0
2009-07,84.0,70.0
2009-08,91.0,60.0
2009-09,77.0,56.0
2009-10,55.0,52.0
2009-11,28.0,24.0
2009-12,36.0,29.0
2010-01,33.0,24.0
2010-02,25.0,17.0
2010-03,58.0,25.0
2010-04,53.0,38.0
2010-05,78.0,52.0
2010-06,88.0,58.0
2010-07,89.0,67.0
2010-08,76.0,69.0
2010-09,81.0,56.0
2010-10,65.0,46.0
2010-11,51.0,35.0
2010-12,41.0,20.0
2011-01,29.0,15.0
2011-02,39.0,19.0
2011-03,60.0,29.0
2011-04,64.0,28.0
2011-05,77.0,48.0
2011-06,86.0,60.0
2011-07,89.0,69.0
2011-08,88.0,69.0
2011-09,67.0,54.0
2011-10,62.0,54.0
2011-11,49.0,30.0
2011-12,35.0,15.0
2012-01,33.0,17.0
2012-02,41.0,9.0
2012-03,44.0,22.0
2012-04,64.0,48.0
2012-05,81.0,64.0
2012-06,87.0,55.0
2012-07,93.0,63.0
2012-08,84.0,65.0
2012-09,78.0,60.0
2012-10,71.0,41.0
2012-11,42.0,28.0
2012-12,34.0,13.0
