date,tmax,tmin
2000-01,64.0,49.0
2000-02,56.0,48.0
2000-03,90.0,65.0
2000-04,79.0,67.0
2000-05,88.0,78.0
2000-06,95.0,79.0
2000-07,96.0,81.0
2000-08,94.0,78.0
2000-09,92.0,75.0
2000-10,76.0,66.0
2000-11,77.0,67.0
2000-12,72.0,55.0
2001-01,58.0,49.0
2001-03,74.0,58.0
2001-04,89.0,76.0
2001-05,87.0,75.0
2001-06,90.0,77.0
2001-07,95.0,79.0
2001-08,89.0,78.0
2001-09,90.0,75.0
2001-10,75.0,65.0
2001-11,73.0,68.0
2001-12,65.0,46.0
2002-01,62.0,49.0
2002-03,78.0,67.0
2002-04,87.0,74.0
2002-05,92.0,76.0
2002-06,95.0,82.0
2002-07,89.0,77.0
2002-08,96.0,78.0
2002-09,74.0,69.0
2002-10,80.0,69.0
2002-11,65.0,58.0
2002-12,57.0,46.0
2003-01,69.0,48.0
2003-03,72.0,66.0
2003-04,89.0,73.0
2003-05,92.0,77.0
2003-06,92.0,74.0
2003-07,95.0,79.0
2003-08,94.0,78.0
2003-09,92.0,78.0
2003-10,86.0,65.0
2003-11,67.0,55.0
2003-12,76.0,49.0
2004-01,55.0,46.0
2004-02,78.0,67.0
2004-03,63.0,60.0
2004-04,83.0,72.0
2004-05,90.0,77.0
2004-06,101.0,82.0
2004-07,84.0,76.0
2004-08,81.0,77.0
2004-09,94.0,76.0
2004-10,85.0,66.0
2004-11,81.0,58.0
2004-12,57.0,39.0
2005-01,59.0,54.0
2005-03,81.0,71.0
2005-04,89.0,74.0
2005-05,86.0,77.0
2005-06,94.0,78.0
2005-07,91.0,79.0
2005-08,90.0,78.0
2005-09,91.0,78.0
2005-10,82.0,68.0
2005-11,77.0,66.0
2005-12,70.0,55.0
2006-01,76.0,58.0
2006-03,81.0,59.0
2006-04,80.0,68.0
2006-05,72.0,67.0
2006-06,90.0,77.0
2006-07,86.0,77.0
2006-08,94.0,77.0
2006-09,93.0,75.0
2006-10,86.0,70.0
2006-11,65.0,59.0
2006-12,63.0,48.0
2007-01,69.0,42.0
2007-03,81.0,69.0
2007-04,78.0,74.0
2007-05,95.0,79.0
2007-06,84.0,77.0
2007-07,96.0,80.0
2007-08,94.0,80.0
2007-09,95.0,78.0
2007-10,84.0,72.0
2007-11,71.0,46.0
2007-12,65.0,58.0
2008-01,46.0,43.0
2008-02,62.0,54.0
2008-03,80.0,71.0
2008-04,82.0,65.0
2008-05,88.0,75.0
2008-06,84.0,76.0
2008-07,98.0,85.0
2008-08,95.0,81.0
2008-09,87.0,73.0
2008-10,87.0,75.0
2008-11,72.0,48.0
2008-12,62.0,60.0
2009-01,58.0,52.0
2009-03,70.0,61.0
2009-04,81.0,67.0
2009-05,76.0,71.0
2009-06,91.0,76.0
2009-07,89.0,81.0
2009-08,97.0,78.0
2009-09,81.0,76.0
2009-10,86.0,68.0
2009-11,74.0,60.0
2009-12,54.0,49.0
2010-01,70.0,63.0
2010-03,74.0,58.0
2010-04,73.0,68.0
2010-05,88.0,78.0
2010-06,89.0,76.0
2010-07,93.0,77.0
2010-08,93.0,77.0
2010-09,92.0,77.0
2010-10,73.0,57.0
2010-11,78.0,64.0
2010-12,73.0,45.0
2011-01,57.0,44.0
2011-03,74.0,51.0
2011-04,78.0,71.0
2011-05,93.0,67.0
2011-06,79.0,76.0
2011-07,91.0,77.0
2011-08,97.0,79.0
2011-09,85.0,76.0
2011-10,79.0,64.0
2011-11,82.0,61.0
2011-12,75.0,55.0
2012-01,60.0,50.0
2012-02,56.0,50.0
2012-03,81.0,63.0
2012-04,88.0,72.0
2012-05,85.0,76.0
2012-06,96.0,76.0
2012-07,91.0,74.0
2012-08,95.0,77.0
2012-09,87.0,71.0
2012-10,80.0,72.0
2012-11,69.0,58.0
2012-12,69.0,47.0
