date,tmax,tmin
2000-01,44.0,34.0
2000-02,48.0,45.0
2000-03,67.0,56.0
2000-04,78.0,59.0
2000-05,89.0,73.0
2000-06,86.0,73.0
2000-07,92.0,75.0
2000-08,77.0,70.0
2000-09,80.0,67.0
2000-10,69.0,61.0
2000-11,52.0,45.0
2000-12,57.0,37.0
2001-01,56.0,38.0
2001-02,60.0,50.0
2001-03,81.0,52.0
2001-04,64.0,54.0
2001-05,96.0,65.0
2001-06,86.0,72.0
2001-07,89.0,77.0
2001-08,87.0,68.0
2001-09,71.0,67.0
2001-10,73.0,62.0
2001-11,62.0,51.0
2001-12,55.0,31.0
2002-01,48.0,34.0
2002-02,63.0,52.0
2002-03,63.0,58.0
2002-04,74.0,63.0
2002-05,73.0,65.0
2002-06,82.0,72.0
2002-07,85.0,69.0
2002-08,84.0,68.0
2002-09,79.0,63.0
2002-10,60.0,54.0
2002-11,55.0,50.0
2002-12,47.0,43.0
2003-01,63.0,42.0
2003-02,70.0,54.0
2003-03,60.0,51.0
2003-04,70.0,60.0
2003-05,74.0,65.0
2003-06,90.0,73.0
2003-07,92.0,74.0
2003-08,88.0,74.0
2003-09,83.0,65.0
2003-10,69.0,60.0
2003-11,60.0,42.0
2003-12,55.0,38.0
