date,tmax,tmin
2000-01,51.0,21.0
2000-02,53.0,23.0
2000-03,51.0,26.0
2000-04,63.0,30.0
2000-05,80.0,47.0
2000-06,76.0,53.0
2000-07,67.0,48.0
2000-08,71.0,52.0
2000-09,69.0,47.0
2000-10,66.0,38.0
2000-11,61.0,34.0
2000-12,49.0,16.0
2001-01,45.0,19.0
2001-02,61.0,24.0
2001-03,51.0,29.0
2001-04,64.0,40.0
2001-05,72.0,41.0
2001-06,72.0,49.0
2001-07,68.0,47.0
2001-08,77.0,53.0
2001-09,71.0,51.0
2001-10,66.0,45.0
2001-11,56.0,26.0
2001-12,53.0,21.0
2002-01,49.0,17.0
2002-02,53.0,20.0
2002-03,58.0,37.0
2002-04,65.0,33.0
2002-05,67.0,43.0
2002-06,73.0,52.0
2002-07,79.0,56.0
2002-08,71.0,49.0
2002-09,67.0,47.0
2002-10,58.0,37.0
2002-11,53.0,31.0
2002-12,49.0,23.0
2003-01,38.0,25.0
2003-02,36.0,20.0
2003-03,48.0,21.0
2003-04,61.0,31.0
2003-05,71.0,49.0
2003-06,75.0,52.0
2003-07,74.0,56.0
2003-08,80.0,62.0
2003-09,69.0,49.0
2003-10,73.0,41.0
2003-11,58.0,27.0
2003-12,52.0,20.0
2004-01,39.0,27.0
2004-02,49.0,22.0
2004-03,55.0,36.0
2004-04,51.0,33.0
2004-05,73.0,50.0
2004-06,66.0,47.0
2004-07,63.0,49.0
2004-08,75.0,52.0
2004-09,69.0,40.0
2004-10,56.0,40.0
2004-11,52.0,30.0
2004-12,49.0,21.0
2005-01,39.0,12.0
2005-02,50.0,24.0
2005-03,60.0,28.0
2005-04,66.0,39.0
2005-05,56.0,35.0
2005-06,78.0,51.0
2005-07,74.0,51.0
2005-08,79.0,58.0
2005-09,72.0,51.0
2005-10,63.0,36.0
2005-11,61.0,29.0
2005-12,51.0,20.0
2006-01,42.0,22.0
2006-02,57.0,27.0
2006-03,54.0,26.0
2006-04,64.0,42.0
2006-05,60.0,39.0
2006-06,78.0,56.0
2006-07,77.0,62.0
2006-08,76.0,53.0
2006-09,66.0,46.0
2006-10,68.0,41.0
2006-11,54.0,29.0
2006-12,49.0,18.0
2007-01,45.0,23.0
2007-02,42.0,27.0
2007-03,54.0,35.0
2007-04,59.0,34.0
2007-05,71.0,41.0
2007-06,78.0,53.0
2007-07,72.0,49.0
2007-08,74.0,54.0
2007-09,70.0,48.0
2007-10,69.0,47.0
2007-11,51.0,27.0
2007-12,54.0,21.0
2008-01,52.0,20.0
2008-02,43.0,18.0
2008-03,57.0,38.0
2008-04,60.0,40.0
2008-05,70.0,49.0
2008-06,74.0,51.0
2008-07,71.0,53.0
2008-08,69.0,49.0
2008-09,70.0,49.0
2008-10,61.0,37.0
2008-11,60.0,27.0
2008-12,51.0,21.0
2009-01,51.0,20.0
2009-02,60.0,26.0
2009-03,57.0,26.0
2009-04,61.0,41.0
2009-05,55.0,39.0
2009-06,82.0,58.0
2009-07,84.0,61.0
2009-08,78.0,52.0
2009-09,77.0,50.0
2009-10,72.0,40.0
2009-11,73.0,42.0
2009-12,49.0,36.0
2010-01,51.0,19.0
2010-02,55.0,33.0
2010-03,55.0,36.0
2010-04,62.0,45.0
2010-05,69.0,43.0
2010-06,82.0,57.0
2010-07,81.0,56.0
2010-08,78.0,55.0
2010-09,73.0,54.0
2010-10,64.0,40.0
2010-11,59.0,28.0
2010-12,47.0,17.0
2011-01,49.0,24.0
2011-02,60.0,25.0
2011-03,44.0,31.0
2011-04,61.0,41.0
2011-05,76.0,54.0
2011-06,79.0,53.0
2011-07,68.0,52.0
2011-08,71.0,49.0
2011-09,74.0,45.0
2011-10,75.0,39.0
2011-11,56.0,30.0
2011-12,54.0,22.0
2012-01,31.0,9.0
2012-02,58.0,32.0
2012-03,54.0,37.0
2012-04,66.0,36.0
2012-05,72.0,48.0
2012-06,81.0,55.0
2012-07,74.0,53.0
2012-08,73.0,51.0
2012-09,69.0,49.0
2012-10,63.0,36.0
2012-11,53.0,24.0
2012-12,48.0,25.0
