date,tmax,tmin
2000-01,61.0,47.0
2000-02,59.0,40.0
2000-03,70.0,49.0
2000-04,75.0,53.0
2000-05,72.0,61.0
2000-06,81.0,66.0
2000-07,79.0,65.0
2000-08,80.0,66.0
2000-09,78.0,63.0
2000-10,76.0,55.0
2000-11,69.0,47.0
2000-12,63.0,44.0
2001-01,64.0,40.0
2001-02,60.0,42.0
2001-03,70.0,46.0
2001-04,82.0,55.0
2001-05,78.0,64.0
2001-06,77.0,62.0
2001-07,75.0,63.0
2001-08,81.0,65.0
2001-09,81.0,64.0
2001-10,73.0,59.0
2001-11,73.0,58.0
2001-12,65.0,45.0
2002-01,57.0,37.0
2002-02,73.0,44.0
2002-03,52.0,34.0
2002-04,81.0,55.0
2002-05,75.0,61.0
2002-06,83.0,67.0
2002-07,76.0,66.0
2002-08,79.0,64.0
2002-09,78.0,60.0
2002-10,72.0,47.0
2002-11,66.0,47.0
2002-12,69.0,44.0
2003-01,52.0,31.0
2003-02,56.0,43.0
2003-03,71.0,42.0
2003-04,83.0,61.0
2003-05,83.0,62.0
2003-06,74.0,57.0
2003-07,74.0,64.0
2003-08,81.0,65.0
2003-09,75.0,62.0
2003-10,76.0,58.0
2003-11,69.0,51.0
2003-12,56.0,48.0
2004-01,66.0,41.0
2004-02,40.0,33.0
2004-03,48.0,42.0
2004-04,64.0,54.0
2004-05,75.0,58.0
2004-06,63.0,54.0
2004-07,73.0,62.0
2004-08,74.0,61.0
2004-09,67.0,60.0
2004-10,70.0,50.0
2004-11,70.0,45.0
2004-12,52.0,40.0
2005-01,69.0,38.0
2005-02,68.0,43.0
2005-03,63.0,47.0
2005-04,75.0,56.0
2005-05,72.0,57.0
2005-06,76.0,65.0
2005-07,85.0,67.0
2005-08,71.0,64.0
2005-09,71.0,60.0
2005-10,69.0,54.0
2005-11,71.0,50.0
2005-12,64.0,47.0
2006-01,66.0,41.0
2006-02,68.0,42.0
2006-03,73.0,53.0
2006-04,78.0,49.0
2006-05,82.0,60.0
2006-06,78.0,67.0
2006-07,77.0,68.0
2006-08,78.0,65.0
2006-09,75.0,65.0
2006-10,66.0,61.0
2006-11,58.0,45.0
2006-12,70.0,48.0
2007-01,61.0,39.0
2007-02,61.0,40.0
2007-03,69.0,44.0
2007-04,72.0,49.0
2007-05,81.0,50.0
2007-06,82.0,63.0
2007-07,77.0,67.0
2007-08,80.0,61.0
2007-09,76.0,63.0
2007-10,78.0,63.0
2007-11,64.0,47.0
2007-12,62.0,37.0
2008-01,73.0,36.0
2008-02,65.0,38.0
2008-03,65.0,42.0
2008-04,80.0,58.0
2008-05,80.0,59.0
2008-06,76.0,63.0
2008-07,81.0,56.0
2008-08,75.0,63.0
2008-09,76.0,62.0
2008-10,65.0,52.0
2008-11,66.0,49.0
2008-12,54.0,47.0
2009-01,60.0,39.0
2009-02,69.0,46.0
2009-03,70.0,47.0
2009-04,71.0,49.0
2009-05,82.0,58.0
2009-06,78.0,63.0
2009-07,80.0,65.0
2009-08,80.0,61.0
2009-09,83.0,63.0
2009-10,76.0,62.0
2009-11,77.0,51.0
2009-12,67.0,43.0
2010-01,67.0,41.0
2010-02,72.0,40.0
2010-03,73.0,50.0
2010-04,78.0,54.0
2010-05,83.0,65.0
2010-06,81.0,64.0
2010-07,79.0,68.0
2010-08,76.0,61.0
2010-09,81.0,64.0
2010-10,65.0,56.0
2010-11,67.0,42.0
2010-12,59.0,40.0
2011-01,64.0,36.0
2011-02,69.0,42.0
2011-03,62.0,47.0
2011-04,76.0,54.0
2011-05,81.0,56.0
2011-06,81.0,66.0
2011-07,76.0,63.0
2011-08,80.0,56.0
2011-09,80.0,64.0
2011-10,71.0,58.0
2011-11,58.0,49.0
2011-12,68.0,51.0
2012-01,62.0,36.0
2012-02,68.0,37.0
2012-03,67.0,48.0
2012-04,70.0,54.0
2012-05,71.0,61.0
2012-06,84.0,63.0
2012-07,82.0,63.0
2012-08,77.0,64.0
2012-09,78.0,61.0
2012-10,68.0,60.0
2012-11,69.0,57.0
2012-12,61.0,38.0
