date,tmax,tmin
2000-01,40.0,37.0
2000-02,52.0,43.0
2000-03,50.0,48.0
2000-04,72.0,53.0
2000-05,89.0,63.0
2000-06,87.0,64.0
2000-07,99.0,81.0
2000-08,94.0,74.0
2000-09,73.0,66.0
2000-10,67.0,56.0
2000-11,56.0,46.0
2000-12,43.0,37.0
2001-01,47.0,33.0
2001-02,50.0,36.0
2001-03,81.0,54.0
2001-04,69.0,54.0
2001-05,86.0,65.0
2001-06,81.0,68.0
2001-07,88.0,77.0
2001-08,87.0,75.0
2001-09,84.0,70.0
2001-10,77.0,63.0
2001-11,57.0,47.0
2001-12,44.0,30.0
2002-01,71.0,54.0
2002-02,51.0,45.0
2002-03,73.0,58.0
2002-04,78.0,64.0
2002-05,76.0,66.0
2002-06,88.0,73.0
2002-07,99.0,81.0
2002-08,89.0,74.0
2002-09,76.0,70.0
2002-10,84.0,68.0
2002-11,61.0,57.0
2002-12,60.0,37.0
2003-01,53.0,37.0
2003-02,45.0,40.0
2003-03,53.0,46.0
2003-04,68.0,50.0
2003-05,74.0,67.0
2003-06,85.0,68.0
2003-07,101.0,82.0
2003-08,76.0,72.0
2003-09,95.0,76.0
2003-10,68.0,55.0
2003-11,68.0,45.0
2003-12,49.0,30.0
2004-01,52.0,31.0
2004-02,61.0,50.0
2004-03,63.0,50.0
2004-04,67.0,56.0
2004-05,78.0,62.0
2004-06,83.0,74.0
2004-07,93.0,75.0
2004-08,98.0,80.0
2004-09,74.0,71.0
2004-10,77.0,55.0
2004-11,59.0,54.0
2004-12,61.0,43.0
2005-01,46.0,34.0
2005-02,45.0,40.0
2005-03,52.0,32.0
2005-04,75.0,49.0
2005-05,72.0,63.0
2005-06,90.0,73.0
2005-07,92.0,74.0
2005-08,97.0,82.0
2005-09,92.0,78.0
2005-10,76.0,68.0
2005-11,69.0,54.0
2005-12,45.0,28.0
2006-01,45.0,42.0
2006-02,77.0,57.0
2006-03,57.0,36.0
2006-04,51.0,45.0
2006-05,72.0,58.0
2006-06,78.0,73.0
2006-07,85.0,81.0
2006-08,101.0,82.0
2006-09,76.0,69.0
2006-10,82.0,71.0
2006-11,68.0,56.0
2006-12,49.0,44.0
2007-01,41.0,37.0
2007-02,60.0,46.0
2007-03,55.0,48.0
2007-04,68.0,57.0
2007-05,87.0,61.0
2007-06,72.0,67.0
2007-07,88.0,80.0
2007-08,91.0,76.0
2007-09,89.0,71.0
2007-10,68.0,63.0
2007-11,70.0,52.0
2007-12,53.0,36.0
2008-01,39.0,32.0
2008-02,44.0,25.0
2008-03,62.0,51.0
2008-04,63.0,56.0
2008-05,76.0,57.0
2008-06,85.0,70.0
2008-07,97.0,80.0
2008-08,98.0,80.0
2008-09,81.0,76.0
2008-10,80.0,59.0
2008-11,71.0,53.0
2008-12,50.0,44.0
2009-01,47.0,25.0
2009-02,62.0,50.0
2009-03,57.0,37.0
2009-04,78.0,57.0
2009-05,76.0,63.0
2009-06,91.0,72.0
2009-07,97.0,81.0
2009-08,88.0,75.0
2009-09,90.0,71.0
2009-10,73.0,58.0
2009-11,51.0,40.0
2009-12,48.0,45.0
2010-01,53.0,26.0
2010-02,37.0,33.0
2010-03,60.0,51.0
2010-04,49.0,40.0
2010-05,65.0,57.0
2010-06,84.0,70.0
2010-07,81.0,75.0
2010-08,103.0,85.0
2010-09,94.0,73.0
2010-10,63.0,56.0
2010-11,64.0,57.0
2010-12,51.0,43.0
2011-01,40.0,38.0
2011-02,39.0,31.0
2011-03,67.0,55.0
2011-04,81.0,60.0
2011-05,76.0,63.0
2011-06,75.0,69.0
2011-07,89.0,79.0
2011-08,93.0,78.0
2011-09,95.0,75.0
2011-10,74.0,63.0
2011-11,65.0,53.0
2011-12,54.0,37.0
2012-01,42.0,40.0
2012-02,43.0,41.0
2012-03,65.0,39.0
2012-04,70.0,57.0
2012-05,72.0,66.0
2012-06,89.0,71.0
2012-07,97.0,79.0
2012-08,99.0,81.0
2012-09,74.0,63.0
2012-10,76.0,68.0
2012-11,61.0,47.0
2012-12,76.0,52.0
