date,tmax,tmin
2000-01,35.0,28.0
2000-02,60.0,44.0
2000-03,71.0,59.0
2000-04,79.0,65.0
2000-05,81.0,72.0
2000-06,97.0,83.0
2000-07,96.0,82.0
2000-08,90.0,76.0
2000-09,69.0,63.0
2000-10,57.0,54.0
2000-11,51.0,47.0
2000-12,46.0,42.0
2001-01,46.0,32.0
2001-02,59.0,40.0
2001-03,56.0,44.0
2001-04,66.0,62.0
2001-05,74.0,66.0
2001-06,96.0,83.0
2001-07,98.0,86.0
2001-08,90.0,73.0
2001-09,85.0,67.0
2001-10,71.0,57.0
2001-11,66.0,45.0
2001-12,51.0,31.0
2002-01,52.0,36.0
2002-02,54.0,46.0
2002-03,61.0,56.0
2002-04,64.0,54.0
2002-05,84.0,73.0
2002-06,80.0,73.0
2002-07,81.0,72.0
2002-08,93.0,79.0
2002-09,83.0,66.0
2002-10,66.0,54.0
2002-11,67.0,48.0
2002-12,39.0,33.0
2003-01,54.0,34.0
2003-02,44.0,41.0
2003-03,72.0,55.0
2003-04,68.0,62.0
2003-05,81.0,70.0
2003-06,86.0,73.0
2003-07,100.0,88.0
2003-08,98.0,83.0
2003-09,89.0,74.0
2003-10,82.0,61.0
2003-11,48.0,44.0
2003-12,47.0,36.0
2004-01,52.0,31.0
2004-02,62.0,57.0
2004-03,70.0,51.0
2004-04,85.0,65.0
2004-05,83.0,65.0
2004-06,95.0,79.0
2004-07,98.0,86.0
2004-08,87.0,76.0
2004-09,84.0,71.0
2004-10,74.0,56.0
2004-11,63.0,45.0
2004-12,41.0,31.0
2005-01,40.0,34.0
2005-02,57.0,39.0
2005-03,71.0,51.0
2005-04,92.0,75.0
2005-05,87.0,73.0
2005-06,91.0,75.0
2005-07,92.0,83.0
2005-08,81.0,74.0
2005-09,86.0,68.0
2005-10,62.0,58.0
2005-11,61.0,56.0
2005-12,48.0,42.0
2006-01,59.0,36.0
2006-02,37.0,31.0
2006-03,65.0,51.0
2006-04,78.0,62.0
2006-05,87.0,71.0
2006-06,95.0,83.0
2006-07,94.0,78.0
2006-08,98.0,84.0
2006-09,84.0,72.0
2006-10,75.0,57.0
2006-11,55.0,41.0
2006-12,47.0,39.0
2007-01,53.0,31.0
2007-02,55.0,52.0
2007-03,78.0,60.0
2007-04,76.0,66.0
2007-05,96.0,77.0
2007-06,95.0,78.0
2007-07,97.0,77.0
2007-08,90.0,79.0
2007-09,85.0,66.0
2007-10,68.0,58.0
2007-11,59.0,37.0
2007-12,51.0,45.0
2008-01,29.0,27.0
2008-02,61.0,37.0
2008-03,70.0,59.0
2008-04,84.0,60.0
2008-05,84.0,74.0
2008-06,92.0,75.0
2008-07,97.0,80.0
2008-08,84.0,77.0
2008-09,67.0,62.0
2008-10,73.0,58.0
2008-11,58.0,36.0
2008-12,44.0,40.0
2009-01,51.0,33.0
2009-02,42.0,35.0
2009-03,51.0,48.0
2009-04,77.0,62.0
2009-05,66.0,62.0
2009-06,94.0,77.0
2009-07,83.0,73.0
2009-08,91.0,76.0
2009-09,85.0,67.0
2009-10,73.0,65.0
2009-11,43.0,37.0
2009-12,48.0,32.0
2010-01,52.0,42.0
2010-02,67.0,52.0
2010-03,73.0,45.0
2010-04,77.0,61.0
2010-05,76.0,67.0
2010-06,90.0,78.0
2010-07,95.0,80.0
2010-08,85.0,68.0
2010-09,70.0,65.0
2010-10,62.0,38.0
2010-11,66.0,51.0
2010-12,55.0,27.0
2011-01,43.0,33.0
2011-02,38.0,34.0
2011-03,70.0,42.0
2011-04,87.0,58.0
2011-05,89.0,60.0
2011-06,85.0,74.0
2011-07,97.0,81.0
2011-08,89.0,71.0
2011-09,84.0,67.0
2011-10,59.0,53.0
2011-11,67.0,52.0
2011-12,53.0,30.0
2012-01,49.0,36.0
2012-02,51.0,31.0
2012-03,80.0,52.0
2012-04,84.0,63.0
2012-05,89.0,67.0
2012-06,81.0,77.0
2012-07,97.0,82.0
2012-08,88.0,71.0
2012-09,79.0,65.0
2012-10,75.0,53.0
2012-11,60.0,39.0
2012-12,37.0,34.0
