date,tmax,tmin
2000-01,14.0,-8.0
2000-02,28.0,13.0
2000-03,46.0,25.0
2000-04,59.0,30.0
2000-05,62.0,51.0
2000-06,85.0,58.0
2000-07,85.0,72.0
2000-08,82.0,75.0
2000-09,83.0,54.0
2000-10,58.0,43.0
2000-11,38.0,15.0
2000-12,15.0,1.0
2001-01,-3.0,-24.0
2001-02,12.0,-12.0
2001-03,35.0,4.0
2001-04,53.0,41.0
2001-05,77.0,44.0
2001-06,84.0,66.0
2001-07,87.0,71.0
2001-08,87.0,62.0
2001-09,81.0,58.0
2001-10,66.0,48.0
2001-11,46.0,34.0
2001-12,31.0,6.0
2002-01,41.0,23.0
2002-02,27.0,16.0
2002-03,65.0,33.0
2002-04,62.0,31.0
2002-05,79.0,58.0
2002-06,72.0,57.0
2002-07,87.0,69.0
2002-08,83.0,67.0
2002-09,68.0,56.0
2002-10,71.0,59.0
2002-11,49.0,34.0
2002-12,18.0,0.1
2003-01,36.0,4.0
2003-02,17.0,5.0
2003-03,48.0,27.0
2003-04,56.0,46.0
2003-05,73.0,56.0
2003-06,75.0,59.0
2003-07,85.0,70.0
2003-08,83.0,62.0
2003-09,83.0,61.0
2003-10,52.0,38.0
2003-11,42.0,27.0
2003-12,25.0,19.0
2004-01,26.0,-1.0
2004-02,34.0,19.0
2004-03,48.0,27.0
2004-04,71.0,49.0
2004-05,75.0,53.0
2004-06,91.0,72.0
2004-07,83.0,68.0
2004-08,83.0,68.0
2004-09,83.0,54.0
2004-10,66.0,47.0
2004-11,39.0,31.0
2004-12,44.0,16.0
2005-01,20.0,-4.0
2005-02,22.0,-11.0
2005-03,25.0,7.0
2005-04,59.0,36.0
2005-05,51.0,45.0
2005-06,76.0,61.0
2005-07,82.0,66.0
2005-08,86.0,75.0
2005-09,83.0,66.0
2005-10,73.0,55.0
2005-11,45.0,25.0
2005-12,16.0,-5.0
2006-01,23.0,-2.0
2006-02,26.0,0.1
2006-03,29.0,19.0
2006-04,56.0,43.0
2006-05,73.0,38.0
2006-06,80.0,57.0
2006-07,85.0,75.0
2006-08,84.0,76.0
2006-09,78.0,52.0
2006-10,56.0,40.0
2006-11,38.0,18.0
2006-12,40.0,22.0
2007-01,22.0,-5.0
2007-02,44.0,15.0
2007-03,33.0,17.0
2007-04,64.0,33.0
2007-05,70.0,51.0
2007-06,89.0,68.0
2007-07,79.0,65.0
2007-08,84.0,73.0
2007-09,79.0,54.0
2007-10,64.0,37.0
2007-11,49.0,31.0
2007-12,29.0,3.0
2008-01,27.0,8.0
2008-02,28.0,2.0
2008-03,57.0,26.0
2008-04,58.0,39.0
2008-05,64.0,47.0
2008-06,87.0,55.0
2008-07,85.0,72.0
2008-08,83.0,71.0
2008-09,79.0,60.0
2008-10,64.0,33.0
2008-11,57.0,18.0
2008-12,34.0,1.0
2009-01,13.0,-9.0
2009-02,41.0,17.0
2009-03,48.0,22.0
2009-04,74.0,49.0
2009-05,73.0,56.0
2009-06,65.0,55.0
2009-07,77.0,65.0
2009-08,92.0,72.0
2009-09,79.0,53.0
2009-10,68.0,36.0
2009-11,30.0,14.0
2009-12,38.0,21.0
2010-01,11.0,-10.0
2010-02,12.0,4.0
2010-03,48.0,24.0
2010-04,53.0,30.0
2010-05,62.0,41.0
2010-06,83.0,62.0
2010-07,84.0,68.0
2010-08,86.0,66.0
2010-09,78.0,65.0
2010-10,55.0,43.0
2010-11,43.0,31.0
2010-12,17.0,0.1
2011-01,17.0,-5.0
2011-02,14.0,2.0
2011-03,49.0,17.0
2011-04,59.0,28.0
2011-05,83.0,47.0
2011-06,75.0,62.0
2011-07,87.0,67.0
2011-08,88.0,65.0
2011-09,76.0,49.0
2011-10,69.0,33.0
2011-11,58.0,35.0
2011-12,39.0,11.0
2012-01,13.0,-3.0
2012-02,24.0,1.0
2012-03,26.0,14.0
2012-04,56.0,40.0
2012-05,80.0,54.0
2012-06,78.0,50.0
2012-07,73.0,64.0
2012-08,83.0,71.0
2012-09,80.0,60.0
2012-10,67.0,38.0
2012-11,47.0,35.0
2012-12,16.0,-10.0
