date,tmax,tmin
2000-01,31.0,25.0
2000-02,46.0,24.0
2000-03,63.0,36.0
2000-04,77.0,52.0
2000-05,78.0,49.0
2000-06,98.0,71.0
2000-07,93.0,75.0
2000-08,92.0,71.0
2000-09,87.0,62.0
2000-10,67.0,52.0
2000-11,39.0,31.0
2000-12,49.0,26.0
2001-01,35.0,17.0
2001-02,46.0,22.0
2001-03,48.0,38.0
2001-04,83.0,64.0
2001-05,86.0,66.0
2001-06,85.0,77.0
2001-07,92.0,76.0
2001-08,85.0,68.0
2001-09,87.0,67.0
2001-10,67.0,54.0
2001-11,56.0,36.0
2001-12,44.0,33.0
2002-01,36.0,27.0
2002-02,58.0,45.0
2002-03,65.0,55.0
2002-04,65.0,46.0
2002-05,58.0,54.0
2002-06,91.0,69.0
2002-07,97.0,80.0
2002-08,89.0,70.0
2002-09,79.0,57.0
2002-10,87.0,72.0
2002-11,57.0,43.0
2002-12,37.0,29.0
2003-01,49.0,35.0
2003-02,53.0,31.0
2003-03,45.0,34.0
2003-04,88.0,71.0
2003-05,79.0,59.0
2003-06,90.0,60.0
2003-07,77.0,69.0
2003-08,76.0,64.0
2003-09,90.0,72.0
2003-10,68.0,45.0
2003-11,51.0,38.0
2003-12,38.0,28.0
2004-01,33.0,27.0
2004-02,49.0,32.0
2004-03,79.0,48.0
2004-04,87.0,66.0
2004-05,68.0,52.0
2004-06,71.0,64.0
2004-07,82.0,73.0
2004-08,75.0,63.0
2004-09,86.0,71.0
2004-10,72.0,51.0
2004-11,60.0,40.0
2004-12,43.0,31.0
2005-01,43.0,19.0
2005-02,32.0,26.0
2005-03,58.0,44.0
2005-04,78.0,57.0
2005-05,71.0,63.0
2005-06,99.0,77.0
2005-07,95.0,78.0
2005-08,94.0,77.0
2005-09,75.0,66.0
2005-10,76.0,60.0
2005-11,54.0,35.0
2005-12,38.0,20.0
2006-01,45.0,32.0
2006-02,46.0,30.0
2006-03,69.0,41.0
2006-04,68.0,50.0
2006-05,87.0,71.0
2006-06,96.0,81.0
2006-07,90.0,80.0
2006-08,89.0,74.0
2006-09,81.0,62.0
2006-10,83.0,68.0
2006-11,62.0,47.0
2006-12,39.0,27.0
2007-01,41.0,27.0
2007-02,51.0,38.0
2007-03,48.0,42.0
2007-04,63.0,38.0
2007-05,82.0,69.0
2007-06,92.0,73.0
2007-07,89.0,70.0
2007-08,76.0,70.0
2007-09,87.0,66.0
2007-10,73.0,48.0
2007-11,47.0,30.0
2007-12,47.0,30.0
2008-01,30.0,17.0
2008-02,46.0,29.0
2008-03,68.0,43.0
2008-04,75.0,57.0
2008-05,74.0,62.0
2008-06,76.0,63.0
2008-07,93.0,69.0
2008-08,83.0,66.0
2008-09,87.0,67.0
2008-10,83.0,66.0
2008-11,59.0,36.0
2008-12,56.0,44.0
2009-01,42.0,27.0
2009-02,44.0,31.0
2009-03,74.0,49.0
2009-04,66.0,38.0
2009-05,71.0,55.0
2009-06,95.0,77.0
2009-07,88.0,75.0
2009-08,91.0,78.0
2009-09,82.0,65.0
2009-10,75.0,63.0
2009-11,30.0,24.0
2009-12,31.0,27.0
2010-01,43.0,21.0
2010-02,39.0,22.0
2010-03,60.0,33.0
2010-04,69.0,44.0
2010-05,71.0,59.0
2010-06,96.0,83.0
2010-07,87.0,77.0
2010-08,89.0,70.0
2010-09,86.0,70.0
2010-10,79.0,62.0
2010-11,54.0,42.0
2010-12,36.0,17.0
2011-01,30.0,11.0
2011-02,42.0,31.0
2011-03,55.0,34.0
2011-04,74.0,51.0
2011-05,82.0,63.0
2011-06,89.0,73.0
2011-07,91.0,74.0
2011-08,87.0,72.0
2011-09,78.0,66.0
2011-10,75.0,52.0
2011-11,55.0,51.0
2011-12,30.0,18.0
2012-01,45.0,29.0
2012-02,40.0,28.0
2012-03,55.0,41.0
2012-04,69.0,52.0
2012-05,78.0,65.0
2012-06,93.0,67.0
2012-07,90.0,71.0
2012-08,85.0,65.0
2012-09,78.0,60.0
2012-10,69.0,51.0
2012-11,51.0,40.0
2012-12,39.0,35.0
