date,tmax,tmin
2000-01,85.0,70.0
2000-02,70.0,66.0
2000-03,87.0,72.0
2000-04,79.0,72.0
2000-05,86.0,78.0
2000-06,86.0,73.0
2000-07,89.0,78.0
2000-08,95.0,80.0
2000-09,87.0,74.0
2000-10,78.0,76.0
2000-11,78.0,70.0
2000-12,71.0,65.0
2001-01,67.0,60.0
2001-02,67.0,57.0
2001-03,79.0,68.0
2001-04,84.0,73.0
2001-05,87.0,78.0
2001-06,87.0,78.0
2001-07,92.0,74.0
2001-08,90.0,78.0
2001-09,91.0,79.0
2001-10,86.0,73.0
2001-11,65.0,57.0
2001-12,70.0,61.0
2002-01,80.0,68.0
2002-02,74.0,67.0
2002-03,94.0,72.0
2002-04,96.0,76.0
2002-05,82.0,77.0
2002-06,96.0,79.0
2002-07,90.0,76.0
2002-08,88.0,80.0
2002-09,81.0,74.0
2002-10,85.0,78.0
2002-11,90.0,73.0
2002-12,77.0,68.0
2003-01,71.0,62.0
2003-02,86.0,70.0
2003-03,85.0,70.0
2003-04,77.0,72.0
2003-05,97.0,79.0
2003-06,88.0,80.0
2003-07,95.0,79.0
2003-08,96.0,81.0
2003-09,82.0,76.0
2003-10,76.0,70.0
2003-11,81.0,73.0
2003-12,71.0,55.0
2004-01,81.0,64.0
2004-02,73.0,55.0
2004-03,77.0,69.0
2004-04,86.0,72.0
2004-05,95.0,80.0
2004-06,91.0,79.0
2004-07,94.0,77.0
2004-08,93.0,79.0
2004-09,89.0,77.0
2004-10,85.0,74.0
2004-11,79.0,74.0
2004-12,76.0,70.0
2005-01,63.0,53.0
2005-02,92.0,72.0
2005-03,71.0,58.0
2005-04,74.0,69.0
2005-05,100.0,81.0
2005-06,95.0,80.0
2005-07,94.0,78.0
2005-08,93.0,78.0
2005-09,90.0,80.0
2005-10,88.0,76.0
2005-11,79.0,75.0
2005-12,66.0,62.0
2006-01,74.0,63.0
2006-02,89.0,68.0
2006-03,67.0,59.0
2006-04,66.0,60.0
2006-05,81.0,74.0
2006-06,95.0,81.0
2006-07,98.0,84.0
2006-08,86.0,81.0
2006-09,84.0,75.0
2006-10,89.0,76.0
2006-11,80.0,73.0
2006-12,69.0,63.0
2007-01,76.0,64.0
2007-02,84.0,71.0
2007-03,89.0,72.0
2007-04,85.0,72.0
2007-05,90.0,76.0
2007-06,87.0,76.0
2007-07,96.0,76.0
2007-08,81.0,74.0
2007-09,89.0,76.0
2007-10,78.0,73.0
2007-11,79.0,69.0
2007-12,75.0,69.0
2008-01,64.0,59.0
2008-02,59.0,51.0
2008-03,84.0,69.0
2008-04,85.0,73.0
2008-05,83.0,68.0
2008-06,90.0,78.0
2008-07,92.0,78.0
2008-08,92.0,77.0
2008-09,91.0,78.0
2008-10,83.0,75.0
2008-11,83.0,72.0
2008-12,71.0,65.0
2009-01,63.0,55.0
2009-02,89.0,71.0
2009-03,72.0,60.0
2009-04,82.0,76.0
2009-05,89.0,78.0
2009-06,93.0,78.0
2009-07,88.0,78.0
2009-08,92.0,76.0
2009-09,81.0,75.0
2009-10,82.0,77.0
2009-11,79.0,70.0
2009-12,82.0,71.0
2010-01,74.0,61.0
2010-02,66.0,58.0
2010-03,91.0,74.0
2010-04,81.0,65.0
2010-05,93.0,79.0
2010-06,93.0,81.0
2010-07,91.0,79.0
2010-08,91.0,77.0
2010-09,87.0,75.0
2010-10,85.0,77.0
2010-11,74.0,70.0
2010-12,78.0,71.0
2011-01,61.0,53.0
2011-02,59.0,53.0
2011-03,79.0,62.0
2011-04,87.0,70.0
2011-05,89.0,75.0
2011-06,95.0,78.0
2011-07,88.0,77.0
2011-08,92.0,78.0
2011-09,90.0,76.0
2011-10,81.0,77.0
2011-11,78.0,74.0
2011-12,70.0,67.0
2012-01,67.0,62.0
2012-02,76.0,66.0
2012-03,81.0,68.0
2012-04,95.0,77.0
2012-05,90.0,79.0
2012-06,85.0,77.0
2012-07,97.0,81.0
2012-08,92.0,76.0
2012-09,83.0,77.0
2012-10,88.0,70.0
2012-11,85.0,71.0
2012-12,82.0,70.0
