date,tmax,tmin
2000-02,65.0,57.0
2000-04,77.0,63.0
2000-06,90.0,75.0
2000-08,86.0,82.0
2000-10,80.0,68.0
2000-12,72.0,61.0
2001-01,63.0,53.0
2001-02,70.0,56.0
2001-03,79.0,68.0
2001-04,78.0,68.0
2001-07,86.0,75.0
2001-08,92.0,78.0
2001-09,92.0,78.0
2001-11,71.0,56.0
2002-06,87.0,80.0
2002-10,84.0,75.0
2002-11,69.0,62.0
2002-12,78.0,64.0
2003-02,75.0,64.0
2003-03,73.0,67.0
2003-05,86.0,80.0
2003-07,92.0,81.0
2003-10,82.0,69.0
2004-03,70.0,65.0
2004-04,74.0,69.0
2004-08,89.0,80.0
2004-10,83.0,71.0
2004-12,77.0,63.0
2005-01,62.0,48.0
2005-03,70.0,60.0
2005-05,86.0,80.0
2005-07,91.0,80.0
2005-08,85.0,76.0
2005-09,92.0,81.0
2005-10,84.0,74.0
2005-12,62.0,50.0
2006-01,74.0,64.0
2006-03,70.0,59.0
2006-11,78.0,69.0
2007-02,70.0,65.0
2007-04,86.0,73.0
2007-05,88.0,76.0
2007-06,86.0,77.0
2007-10,81.0,70.0
2007-11,83.0,67.0
2007-12,70.0,64.0
2008-02,63.0,51.0
2008-03,75.0,64.0
2008-04,83.0,72.0
2008-05,82.0,73.0
2008-07,88.0,79.0
2008-09,94.0,81.0
2008-10,88.0,75.0
2008-11,85.0,69.0
2008-12,68.0,57.0
2009-01,67.0,50.0
2009-04,79.0,65.0
2009-05,81.0,74.0
2009-07,88.0,80.0
2009-08,90.0,80.0
2009-09,88.0,79.0
2010-01,70.0,55.0
2010-05,81.0,73.0
2010-07,87.0,75.0
2010-08,84.0,75.0
2010-09,92.0,78.0
2010-10,81.0,73.0
2011-01,56.0,45.0
2011-02,54.0,48.0
2011-03,63.0,53.0
2011-04,85.0,71.0
2011-09,92.0,79.0
2011-11,78.0,70.0
2012-03,69.0,63.0
2012-05,87.0,76.0
2012-08,89.0,78.0
2012-09,85.0,73.0
2012-10,85.0,74.0
