date,tmax,tmin
2000-01,27.0,18.0
2000-02,45.0,30.0
2000-03,52.0,39.0
2000-04,72.0,54.0
2000-05,81.0,67.0
2000-06,92.0,73.0
2000-07,94.0,74.0
2000-08,79.0,72.0
2000-09,80.0,63.0
2000-10,58.0,49.0
2000-11,44.0,29.0
2000-12,53.0,36.0
2001-01,27.0,23.0
2001-02,51.0,37.0
2001-03,72.0,48.0
2001-04,75.0,49.0
2001-05,92.0,70.0
2001-06,83.0,70.0
2001-07,86.0,72.0
2001-08,101.0,76.0
2001-09,70.0,59.0
2001-10,78.0,51.0
2001-11,61.0,39.0
2001-12,42.0,23.0
2002-01,44.0,25.0
2002-02,55.0,38.0
2002-03,61.0,42.0
2002-04,66.0,50.0
2002-05,87.0,68.0
2002-06,80.0,65.0
2002-07,82.0,70.0
2002-08,97.0,73.0
2002-09,83.0,58.0
2002-10,55.0,42.0
2002-11,37.0,29.0
2002-12,32.0,29.0
2003-01,41.0,27.0
2003-02,40.0,36.0
2003-03,55.0,38.0
2003-04,57.0,49.0
2003-05,86.0,66.0
2003-06,89.0,76.0
2003-07,87.0,74.0
2003-08,92.0,76.0
2003-09,81.0,61.0
2003-10,61.0,40.0
2003-11,44.0,28.0
2003-12,57.0,30.0
2004-01,31.0,15.0
2004-02,49.0,32.0
2004-03,63.0,41.0
2004-04,77.0,64.0
2004-05,88.0,60.0
2004-06,92.0,69.0
2004-07,94.0,77.0
2004-08,74.0,65.0
2004-09,78.0,57.0
2004-10,68.0,45.0
2004-11,51.0,37.0
2004-12,26.0,23.0
2005-01,36.0,24.0
2005-02,42.0,27.0
2005-03,60.0,40.0
2005-04,70.0,50.0
2005-05,92.0,61.0
2005-06,104.0,78.0
2005-07,88.0,76.0
2005-08,83.0,67.0
2005-09,76.0,58.0
2005-10,63.0,41.0
2005-11,60.0,34.0
2005-12,56.0,33.0
2006-01,44.0,30.0
2006-02,47.0,30.0
2006-03,69.0,55.0
2006-04,71.0,52.0
2006-05,86.0,57.0
2006-06,89.0,71.0
2006-07,90.0,80.0
2006-08,74.0,65.0
2006-09,83.0,65.0
2006-10,71.0,53.0
2006-11,43.0,34.0
2006-12,44.0,27.0
2007-01,40.0,27.0
2007-02,63.0,40.0
2007-03,60.0,43.0
2007-04,69.0,54.0
2007-05,71.0,60.0
2007-06,85.0,72.0
2007-07,83.0,74.0
2007-08,92.0,80.0
2007-09,88.0,65.0
2007-10,67.0,52.0
2007-11,50.0,39.0
2007-12,38.0,27.0
2008-01,26.0,21.0
2008-02,54.0,40.0
2008-03,59.0,46.0
2008-04,67.0,55.0
2008-05,96.0,66.0
2008-06,99.0,71.0
2008-07,91.0,75.0
2008-08,92.0,66.0
2008-09,86.0,67.0
2008-10,68.0,60.0
2008-11,56.0,36.0
2008-12,37.0,13.0
2009-01,52.0,23.0
2009-02,46.0,34.0
2009-03,58.0,45.0
2009-04,72.0,51.0
2009-05,84.0,64.0
2009-06,96.0,72.0
2009-07,94.0,79.0
2009-08,77.0,62.0
2009-09,82.0,54.0
2009-10,78.0,47.0
2009-11,47.0,26.0
2009-12,45.0,25.0
2010-01,42.0,25.0
2010-02,51.0,29.0
2010-03,62.0,46.0
2010-04,67.0,42.0
2010-05,85.0,67.0
2010-06,96.0,79.0
2010-07,92.0,79.0
2010-08,84.0,67.0
2010-09,73.0,54.0
2010-10,62.0,54.0
2010-11,52.0,30.0
2010-12,49.0,32.0
2011-01,33.0,18.0
2011-02,51.0,37.0
2011-03,54.0,32.0
2011-04,68.0,50.0
2011-05,80.0,54.0
2011-06,91.0,79.0
2011-07,92.0,78.0
2011-08,85.0,67.0
2011-09,86.0,59.0
2011-10,63.0,53.0
2011-11,59.0,35.0
2011-12,42.0,22.0
2012-01,31.0,13.0
2012-02,47.0,28.0
2012-03,43.0,39.0
2012-04,76.0,57.0
2012-05,82.0,66.0
2012-06,92.0,71.0
2012-07,97.0,79.0
2012-08,84.0,65.0
2012-09,81.0,62.0
2012-10,70.0,52.0
2012-11,44.0,35.0
2012-12,33.0,23.0
