date,tmax,tmin
2000-01,53.0,43.0
2000-02,67.0,47.0
2000-03,69.0,53.0
2000-04,81.0,68.0
2000-05,86.0,68.0
2000-06,91.0,73.0
2000-07,93.0,77.0
2000-08,98.0,81.0
2000-09,81.0,74.0
2000-10,81.0,71.0
2000-11,66.0,56.0
2000-12,68.0,58.0
2001-01,76.0,55.0
2001-02,74.0,57.0
2001-03,64.0,58.0
2001-04,79.0,66.0
2001-05,90.0,70.0
2001-06,93.0,78.0
2001-07,95.0,77.0
2001-08,95.0,78.0
2001-09,89.0,77.0
2001-10,82.0,63.0
2001-11,70.0,49.0
2001-12,60.0,55.0
2002-01,53.0,48.0
2002-02,66.0,47.0
2002-03,77.0,58.0
2002-04,86.0,64.0
2002-05,73.0,69.0
2002-06,95.0,77.0
2002-07,91.0,76.0
2002-08,91.0,77.0
2002-09,88.0,74.0
2002-10,74.0,69.0
2002-11,69.0,59.0
2002-12,63.0,59.0
2003-01,65.0,51.0
2003-02,63.0,46.0
2003-03,56.0,44.0
2003-04,84.0,69.0
2003-05,88.0,67.0
2003-06,92.0,77.0
2003-07,102.0,83.0
2003-08,93.0,76.0
2003-09,87.0,76.0
2003-10,81.0,61.0
2003-11,88.0,68.0
2003-12,59.0,41.0
2004-01,46.0,41.0
2004-02,74.0,57.0
2004-03,63.0,54.0
2004-04,91.0,64.0
2004-05,72.0,66.0
2004-06,94.0,78.0
2004-07,97.0,80.0
2004-08,96.0,80.0
2004-09,92.0,76.0
2004-10,85.0,67.0
2004-11,71.0,52.0
2004-12,63.0,59.0
2005-01,49.0,46.0
2005-02,47.0,41.0
2005-03,74.0,47.0
2005-04,78.0,65.0
2005-05,74.0,66.0
2005-06,85.0,77.0
2005-07,82.0,73.0
2005-08,85.0,75.0
2005-09,92.0,75.0
2005-10,80.0,64.0
2005-11,67.0,60.0
2005-12,61.0,52.0
2006-01,60.0,54.0
2006-02,65.0,50.0
2006-03,54.0,48.0
2006-04,76.0,63.0
2006-05,75.0,66.0
2006-06,92.0,78.0
2006-07,99.0,79.0
2006-08,92.0,79.0
2006-09,87.0,65.0
2006-10,90.0,70.0
2006-11,70.0,63.0
2006-12,54.0,50.0
2007-01,57.0,53.0
2007-02,55.0,50.0
2007-03,63.0,51.0
2007-04,81.0,56.0
2007-05,73.0,68.0
2007-06,92.0,77.0
2007-07,104.0,83.0
2007-08,81.0,77.0
2007-09,89.0,72.0
2007-10,76.0,62.0
2007-11,70.0,58.0
2007-12,64.0,57.0
2008-01,74.0,52.0
2008-02,62.0,44.0
2008-03,64.0,52.0
2008-04,69.0,66.0
2008-05,82.0,61.0
2008-06,97.0,77.0
2008-07,96.0,77.0
2008-08,95.0,82.0
2008-09,94.0,80.0
2008-10,84.0,71.0
2008-11,63.0,48.0
2008-12,75.0,51.0
2009-01,70.0,48.0
2009-02,65.0,54.0
2009-03,76.0,64.0
2009-04,85.0,68.0
2009-05,83.0,67.0
2009-06,94.0,79.0
2009-07,96.0,78.0
2009-08,97.0,78.0
2009-09,83.0,75.0
2009-10,76.0,71.0
2009-11,53.0,50.0
2009-12,58.0,41.0
2010-01,77.0,61.0
2010-02,63.0,39.0
2010-03,81.0,62.0
2010-04,87.0,68.0
2010-05,80.0,71.0
2010-06,91.0,76.0
2010-07,99.0,80.0
2010-08,93.0,79.0
2010-09,88.0,76.0
2010-10,78.0,74.0
2010-11,74.0,60.0
2010-12,71.0,50.0
2011-01,53.0,48.0
2011-02,56.0,44.0
2011-03,79.0,57.0
2011-04,74.0,55.0
2011-05,88.0,69.0
2011-06,91.0,82.0
2011-07,91.0,76.0
2011-08,97.0,76.0
2011-09,84.0,75.0
2011-10,75.0,64.0
2011-11,69.0,60.0
2011-12,64.0,54.0
2012-01,54.0,49.0
2012-02,56.0,44.0
2012-03,57.0,52.0
2012-04,72.0,66.0
2012-05,77.0,69.0
2012-06,77.0,70.0
2012-07,95.0,79.0
2012-08,93.0,77.0
2012-09,85.0,72.0
2012-10,83.0,60.0
2012-11,73.0,56.0
2012-12,56.0,49.0
