date,tmax,tmin
2000-01,47.0,9.0
2000-02,35.0,-1.0
2000-03,37.0,24.0
2000-04,50.0,33.0
2000-05,68.0,42.0
2000-06,78.0,51.0
2000-07,74.0,57.0
2000-08,75.0,52.0
2000-09,72.0,57.0
2000-10,70.0,33.0
2000-11,62.0,20.0
2000-12,27.0,14.0
2001-01,38.0,9.0
2001-02,40.0,6.0
2001-03,45.0,15.0
2001-04,63.0,32.0
2001-05,71.0,42.0
2001-06,74.0,42.0
2001-07,69.0,45.0
2001-08,82.0,50.0
2001-09,64.0,49.0
2001-10,60.0,40.0
2001-11,59.0,26.0
2001-12,34.0,18.0
2002-01,47.0,6.0
2002-02,39.0,-3.0
2002-03,49.0,22.0
2002-04,68.0,40.0
2002-05,52.0,40.0
2002-06,74.0,42.0
2002-07,77.0,53.0
2002-08,89.0,55.0
2002-09,67.0,53.0
2002-10,70.0,32.0
2002-11,53.0,18.0
2002-12,47.0,15.0
2003-01,40.0,0.1
2003-02,36.0,9.0
2003-03,50.0,27.0
2003-04,53.0,33.0
2003-05,73.0,44.0
2003-06,78.0,42.0
2003-07,77.0,47.0
2003-08,73.0,54.0
2003-09,70.0,42.0
2003-10,48.0,38.0
2003-11,55.0,26.0
2003-12,37.0,9.0
2004-01,35.0,-2.0
2004-02,21.0,-1.0
2004-03,38.0,19.0
2004-04,63.0,27.0
2004-05,45.0,31.0
2004-06,76.0,50.0
2004-07,79.0,50.0
2004-08,85.0,52.0
2004-09,74.0,55.0
2004-10,61.0,28.0
2004-11,56.0,21.0
2004-12,39.0,19.0
2005-01,40.0,1.0
2005-02,39.0,4.0
2005-03,36.0,16.0
2005-04,54.0,31.0
2005-05,76.0,43.0
2005-06,71.0,51.0
2005-07,71.0,52.0
2005-08,80.0,57.0
2005-09,75.0,48.0
2005-10,48.0,40.0
2005-11,55.0,23.0
2005-12,44.0,7.0
2006-01,44.0,13.0
2006-02,49.0,17.0
2006-03,51.0,14.0
2006-04,65.0,25.0
2006-05,78.0,52.0
2006-06,65.0,51.0
2006-07,86.0,51.0
2006-08,87.0,48.0
2006-09,78.0,49.0
2006-10,66.0,38.0
2006-11,60.0,24.0
2006-12,37.0,8.0
2007-01,39.0,7.0
2007-02,53.0,7.0
2007-03,40.0,28.0
2007-04,43.0,22.0
2007-05,73.0,41.0
2007-06,83.0,45.0
2007-07,79.0,56.0
2007-08,82.0,43.0
2007-09,62.0,50.0
2007-10,59.0,46.0
2007-11,54.0,20.0
2007-12,44.0,11.0
2008-01,33.0,3.0
2008-02,30.0,0.1
2008-03,49.0,13.0
2008-04,51.0,24.0
2008-05,71.0,46.0
2008-06,79.0,42.0
2008-07,83.0,51.0
2008-08,76.0,50.0
2008-09,68.0,51.0
2008-10,75.0,42.0
2008-11,57.0,24.0
2008-12,49.0,15.0
2009-01,34.0,10.0
2009-02,48.0,10.0
2009-03,43.0,19.0
2009-04,62.0,27.0
2009-05,60.0,35.0
2009-06,72.0,39.0
2009-07,76.0,48.0
2009-08,69.0,56.0
2009-09,78.0,48.0
2009-10,66.0,40.0
2009-11,53.0,17.0
2009-12,39.0,8.0
2010-01,46.0,4.0
2010-02,36.0,9.0
2010-03,42.0,28.0
2010-04,56.0,20.0
2010-05,78.0,39.0
2010-06,63.0,44.0
2010-07,67.0,57.0
2010-08,92.0,66.0
2010-09,70.0,39.0
2010-10,64.0,34.0
2010-11,50.0,24.0
2010-12,50.0,12.0
2011-01,33.0,8.0
2011-02,47.0,2.0
2011-03,41.0,16.0
2011-04,56.0,31.0
2011-05,71.0,33.0
2011-06,74.0,49.0
2011-07,75.0,58.0
2011-08,77.0,47.0
2011-09,74.0,55.0
2011-10,57.0,39.0
2011-11,60.0,26.0
2011-12,46.0,14.0
2012-01,25.0,6.0
2012-02,31.0,6.0
2012-03,48.0,18.0
2012-04,60.0,33.0
2012-05,66.0,40.0
2012-06,73.0,43.0
2012-07,79.0,58.0
2012-08,82.0,48.0
2012-09,69.0,44.0
2012-10,57.0,44.0
2012-11,55.0,20.0
2012-12,45.0,10.0
