date,tmax,tmin
2000-01,32.0,27.0
2000-02,47.0,33.0
2000-03,60.0,49.0
2000-04,81.0,57.0
2000-05,98.0,65.0
2000-06,83.0,68.0
2000-07,99.0,79.0
2000-08,81.0,72.0
2000-09,78.0,59.0
2000-10,60.0,53.0
2000-11,47.0,31.0
2000-12,56.0,30.0
2001-01,43.0,29.0
2001-02,50.0,35.0
2001-03,80.0,46.0
2001-04,49.0,42.0
2001-05,98.0,64.0
2001-06,99.0,72.0
2001-07,96.0,75.0
2001-08,90.0,66.0
2001-09,60.0,55.0
2001-10,68.0,51.0
2001-11,54.0,33.0
2001-12,40.0,22.0
2002-01,44.0,27.0
2002-02,63.0,40.0
2002-03,56.0,45.0
2002-04,86.0,59.0
2002-05,77.0,59.0
2002-06,93.0,70.0
2002-07,92.0,71.0
2002-08,82.0,69.0
2002-09,74.0,60.0
2002-10,54.0,47.0
2002-11,48.0,37.0
2002-12,37.0,34.0
2003-01,43.0,32.0
2003-02,54.0,42.0
2003-03,58.0,41.0
2003-04,61.0,50.0
2003-05,81.0,61.0
2003-06,92.0,76.0
2003-07,92.0,75.0
2003-08,91.0,71.0
2003-09,79.0,59.0
2003-10,76.0,49.0
2003-11,51.0,36.0
2003-12,42.0,27.0
2004-01,40.0,22.0
2004-02,56.0,43.0
2004-03,55.0,39.0
2004-04,96.0,66.0
2004-05,91.0,66.0
2004-06,103.0,72.0
2004-07,92.0,72.0
2004-08,80.0,66.0
2004-09,78.0,58.0
2004-10,58.0,52.0
2004-11,50.0,36.0
2004-12,33.0,26.0
2005-01,38.0,31.0
2005-02,53.0,26.0
2005-03,55.0,47.0
2005-04,76.0,54.0
2005-05,87.0,58.0
2005-06,102.0,84.0
2005-07,94.0,78.0
2005-08,77.0,63.0
2005-09,68.0,62.0
2005-10,66.0,54.0
2005-11,50.0,39.0
2005-12,38.0,26.0
2006-01,40.0,16.0
2006-02,49.0,33.0
2006-03,62.0,42.0
2006-04,82.0,49.0
2006-05,73.0,51.0
2006-06,68.0,59.0
2006-07,84.0,74.0
2006-08,83.0,60.0
2006-09,73.0,49.0
2006-10,66.0,56.0
2006-11,54.0,32.0
2006-12,42.0,15.0
2007-01,46.0,28.0
2007-02,55.0,44.0
2007-03,65.0,45.0
2007-04,81.0,63.0
2007-05,94.0,73.0
2007-06,71.0,66.0
2007-07,81.0,65.0
2007-08,94.0,74.0
2007-09,84.0,59.0
2007-10,73.0,48.0
2007-11,55.0,36.0
2007-12,40.0,31.0
2008-01,29.0,25.0
2008-02,57.0,32.0
2008-03,63.0,45.0
2008-04,66.0,47.0
2008-05,88.0,68.0
2008-06,85.0,72.0
2008-07,83.0,70.0
2008-08,81.0,69.0
2008-09,89.0,69.0
2008-10,64.0,59.0
2008-11,45.0,33.0
2008-12,47.0,26.0
