date,tmax,tmin
2000-01,31.0,26.0
2000-02,38.0,31.0
2000-03,78.0,44.0
2000-04,63.0,49.0
2000-05,69.0,61.0
2000-06,80.0,67.0
2000-07,88.0,72.0
2000-08,70.0,62.0
2000-09,77.0,66.0
2000-10,77.0,53.0
2000-11,49.0,45.0
2000-12,60.0,49.0
2001-01,37.0,31.0
2001-02,46.0,34.0
2001-03,66.0,50.0
2001-04,80.0,56.0
2001-05,65.0,60.0
2001-06,82.0,68.0
2001-07,78.0,67.0
2001-08,79.0,64.0
2001-09,78.0,59.0
2001-10,67.0,57.0
2001-11,65.0,46.0
2001-12,43.0,38.0
2002-01,38.0,31.0
2002-02,66.0,45.0
2002-03,71.0,51.0
2002-04,51.0,44.0
2002-05,75.0,62.0
2002-06,82.0,71.0
2002-07,80.0,63.0
2002-08,85.0,64.0
2002-09,71.0,56.0
2002-10,58.0,49.0
2002-11,50.0,43.0
2002-12,27.0,20.0
2003-01,43.0,31.0
2003-02,80.0,44.0
2003-03,67.0,51.0
2003-04,71.0,58.0
2003-05,70.0,65.0
2003-06,70.0,63.0
2003-07,82.0,69.0
2003-08,80.0,67.0
2003-09,85.0,62.0
2003-10,62.0,53.0
2003-11,48.0,40.0
2003-12,48.0,37.0
2004-01,38.0,32.0
2004-02,59.0,47.0
2004-03,57.0,43.0
2004-04,80.0,52.0
2004-05,87.0,71.0
2004-06,89.0,71.0
2004-07,87.0,65.0
2004-08,82.0,68.0
2004-09,76.0,62.0
2004-10,67.0,45.0
2004-11,47.0,37.0
2004-12,36.0,27.0
2005-01,41.0,31.0
2005-02,41.0,33.0
2005-03,66.0,46.0
2005-04,72.0,58.0
2005-05,75.0,61.0
2005-06,88.0,67.0
2005-07,87.0,69.0
2005-08,78.0,67.0
2005-09,75.0,63.0
2005-10,61.0,54.0
2005-11,63.0,52.0
2005-12,40.0,38.0
2006-01,58.0,31.0
2006-02,40.0,36.0
2006-03,62.0,48.0
2006-04,67.0,57.0
2006-05,72.0,64.0
2006-06,82.0,71.0
2006-07,87.0,65.0
2006-08,82.0,69.0
2006-09,84.0,67.0
2006-10,62.0,51.0
2006-11,47.0,42.0
2006-12,51.0,45.0
2007-01,57.0,30.0
2007-02,76.0,54.0
2007-03,69.0,51.0
2007-04,63.0,52.0
2007-05,72.0,60.0
2007-06,87.0,64.0
2007-07,74.0,65.0
2007-08,81.0,66.0
2007-09,79.0,65.0
2007-10,75.0,58.0
2007-11,56.0,44.0
2007-12,42.0,37.0
2008-01,25.0,21.0
2008-02,43.0,33.0
2008-03,65.0,55.0
2008-04,62.0,52.0
2008-05,78.0,65.0
2008-06,75.0,64.0
2008-07,85.0,68.0
2008-08,79.0,65.0
2008-09,68.0,57.0
2008-10,57.0,52.0
2008-11,59.0,41.0
2008-12,59.0,37.0
2009-01,43.0,30.0
2009-02,40.0,35.0
2009-03,74.0,59.0
2009-04,61.0,54.0
2009-05,76.0,69.0
2009-06,81.0,69.0
2009-07,72.0,65.0
2009-08,81.0,68.0
2009-09,67.0,60.0
2009-10,60.0,57.0
2009-11,57.0,45.0
2009-12,48.0,37.0
2010-01,60.0,45.0
2010-02,79.0,49.0
2010-03,61.0,46.0
2010-04,74.0,47.0
2010-05,72.0,62.0
2010-06,73.0,66.0
2010-07,87.0,69.0
2010-08,68.0,63.0
2010-09,63.0,57.0
2010-10,47.0,38.0
2010-11,52.0,46.0
2010-12,58.0,35.0
2011-01,31.0,26.0
2011-02,80.0,57.0
2011-03,60.0,38.0
2011-04,89.0,60.0
2011-05,84.0,55.0
2011-06,77.0,68.0
2011-07,89.0,74.0
2011-08,85.0,64.0
2011-09,78.0,58.0
2011-10,52.0,48.0
2011-11,67.0,57.0
2011-12,42.0,35.0
2012-01,38.0,31.0
2012-02,35.0,29.0
2012-03,65.0,51.0
2012-04,78.0,56.0
2012-05,75.0,62.0
2012-06,79.0,68.0
2012-07,81.0,67.0
2012-08,80.0,63.0
2012-09,66.0,62.0
2012-10,72.0,57.0
2012-11,47.0,38.0
2012-12,39.0,31.0
