date,tmax,tmin
2000-01,29.0,20.0
2000-02,45.0,26.0
2000-03,56.0,48.0
2000-04,83.0,60.0
2000-05,101.0,69.0
2000-06,89.0,69.0
2000-07,92.0,78.0
2000-08,85.0,69.0
2000-09,71.0,64.0
2000-10,63.0,53.0
2000-11,56.0,30.0
2000-12,62.0,40.0
2001-01,31.0,28.0
2001-02,67.0,36.0
2001-03,85.0,47.0
2001-04,64.0,52.0
2001-05,89.0,67.0
2001-06,92.0,72.0
2001-07,84.0,74.0
2001-08,94.0,72.0
2001-09,63.0,60.0
2001-10,76.0,56.0
2001-11,68.0,36.0
2001-12,41.0,29.0
2002-01,48.0,31.0
2002-02,64.0,40.0
2002-03,58.0,48.0
2002-04,83.0,58.0
2002-05,68.0,61.0
2002-06,91.0,76.0
2002-07,82.0,72.0
2002-08,87.0,71.0
2002-09,66.0,60.0
2002-10,53.0,42.0
2002-11,51.0,34.0
2002-12,35.0,32.0
2003-01,42.0,24.0
2003-02,48.0,36.0
2003-03,57.0,40.0
2003-04,60.0,48.0
2003-05,81.0,66.0
2003-06,90.0,70.0
2003-07,83.0,75.0
2003-08,82.0,75.0
2003-09,81.0,57.0
2003-10,77.0,50.0
2003-11,52.0,41.0
2003-12,52.0,24.0
2004-01,36.0,17.0
2004-02,60.0,47.0
2004-03,56.0,42.0
2004-04,91.0,58.0
2004-05,87.0,59.0
2004-06,99.0,71.0
2004-07,90.0,76.0
2004-08,74.0,65.0
2004-09,77.0,53.0
2004-10,67.0,55.0
2004-11,56.0,34.0
2004-12,33.0,25.0
2005-01,40.0,28.0
2005-02,55.0,22.0
2005-03,57.0,46.0
2005-04,80.0,46.0
2005-05,86.0,58.0
2005-06,93.0,71.0
2005-07,89.0,76.0
2005-08,76.0,67.0
2005-09,69.0,60.0
2005-10,60.0,54.0
2005-11,56.0,36.0
2005-12,39.0,26.0
2006-01,38.0,19.0
2006-02,55.0,42.0
2006-03,68.0,48.0
2006-04,62.0,51.0
2006-05,71.0,59.0
2006-06,88.0,69.0
2006-07,91.0,79.0
2006-08,80.0,70.0
2006-09,80.0,64.0
2006-10,70.0,62.0
2006-11,62.0,44.0
2006-12,51.0,28.0
2007-01,43.0,29.0
2007-02,61.0,43.0
2007-03,67.0,41.0
2007-04,75.0,60.0
2007-05,83.0,70.0
2007-06,73.0,69.0
2007-07,82.0,66.0
2007-08,91.0,78.0
2007-09,89.0,59.0
2007-10,75.0,50.0
2007-11,65.0,37.0
2007-12,41.0,31.0
2008-01,29.0,23.0
2008-02,67.0,31.0
2008-03,66.0,49.0
2008-04,67.0,48.0
2008-05,89.0,66.0
2008-06,89.0,76.0
2008-07,83.0,71.0
2008-08,86.0,77.0
2008-09,78.0,68.0
2008-10,68.0,61.0
2008-11,58.0,31.0
2008-12,39.0,21.0
2009-01,65.0,33.0
2009-02,57.0,36.0
2009-03,68.0,53.0
2009-04,72.0,52.0
2009-05,84.0,61.0
2009-06,104.0,71.0
2009-07,93.0,82.0
2009-08,83.0,66.0
2009-09,81.0,56.0
2009-10,79.0,53.0
2009-11,50.0,32.0
2009-12,49.0,18.0
2010-01,35.0,31.0
2010-02,64.0,36.0
2010-03,62.0,45.0
2010-04,55.0,49.0
2010-05,77.0,68.0
2010-06,100.0,76.0
2010-07,92.0,73.0
2010-08,89.0,74.0
2010-09,76.0,61.0
2010-10,63.0,51.0
2010-11,64.0,45.0
2010-12,62.0,32.0
2011-01,40.0,20.0
2011-02,53.0,29.0
2011-03,55.0,44.0
2011-04,75.0,60.0
2011-05,71.0,55.0
2011-06,90.0,78.0
2011-07,92.0,75.0
2011-08,70.0,68.0
2011-09,79.0,52.0
2011-10,71.0,51.0
2011-11,51.0,39.0
2011-12,47.0,28.0
2012-01,31.0,24.0
2012-02,53.0,42.0
2012-03,43.0,33.0
2012-04,70.0,57.0
2012-05,78.0,64.0
2012-06,97.0,78.0
2012-07,95.0,81.0
2012-08,83.0,74.0
2012-09,74.0,67.0
2012-10,69.0,55.0
2012-11,59.0,44.0
2012-12,32.0,24.0
