date,tmax,tmin
2000-01,51.0,49.0
2000-02,53.0,38.0
2000-03,59.0,54.0
2000-04,63.0,59.0
2000-05,94.0,67.0
2000-06,78.0,72.0
2000-07,90.0,75.0
2000-08,92.0,77.0
2000-09,84.0,69.0
2000-10,87.0,68.0
2000-11,76.0,58.0
2000-12,54.0,50.0
2001-01,54.0,47.0
2001-02,59.0,49.0
2001-03,69.0,54.0
2001-04,78.0,60.0
2001-05,83.0,64.0
2001-06,78.0,68.0
2001-07,98.0,79.0
2001-08,103.0,83.0
2001-09,89.0,74.0
2001-10,69.0,62.0
2001-11,65.0,56.0
2001-12,49.0,43.0
2002-01,55.0,44.0
2002-02,53.0,45.0
2002-03,66.0,48.0
2002-04,87.0,60.0
2002-05,79.0,62.0
2002-06,79.0,71.0
2002-07,91.0,75.0
2002-08,94.0,78.0
2002-09,94.0,75.0
2002-10,83.0,64.0
2002-11,71.0,58.0
2002-12,60.0,54.0
2003-01,48.0,37.0
2003-02,58.0,49.0
2003-03,56.0,40.0
2003-04,67.0,60.0
2003-05,81.0,67.0
2003-06,75.0,69.0
2003-07,92.0,72.0
2003-08,103.0,84.0
2003-09,87.0,73.0
2003-10,73.0,60.0
2003-11,85.0,63.0
2003-12,55.0,51.0
2004-01,55.0,45.0
2004-02,46.0,42.0
2004-03,55.0,50.0
2004-04,86.0,63.0
2004-05,78.0,62.0
2004-06,83.0,67.0
2004-07,97.0,75.0
2004-08,89.0,78.0
2004-09,77.0,74.0
2004-10,69.0,59.0
2004-11,73.0,55.0
2004-12,57.0,48.0
2005-01,49.0,38.0
2005-02,58.0,50.0
2005-03,68.0,45.0
2005-04,87.0,62.0
2005-05,85.0,64.0
2005-06,84.0,69.0
2005-07,95.0,80.0
2005-08,89.0,75.0
2005-09,78.0,69.0
2005-10,69.0,66.0
2005-11,76.0,63.0
2005-12,50.0,44.0
2006-01,40.0,38.0
2006-02,54.0,41.0
2006-03,60.0,53.0
2006-04,75.0,55.0
2006-05,82.0,72.0
2006-06,73.0,71.0
2006-07,93.0,81.0
2006-08,97.0,78.0
2006-09,82.0,68.0
2006-10,67.0,63.0
2006-11,68.0,60.0
2006-12,53.0,48.0
2007-01,47.0,45.0
2007-02,60.0,53.0
2007-03,50.0,46.0
2007-04,59.0,53.0
2007-05,94.0,65.0
2007-06,86.0,74.0
2007-07,86.0,78.0
2007-08,95.0,81.0
2007-09,83.0,74.0
2007-10,94.0,76.0
2007-11,73.0,59.0
2007-12,54.0,47.0
2008-01,58.0,48.0
2008-02,45.0,40.0
2008-03,57.0,52.0
2008-04,75.0,58.0
2008-05,89.0,66.0
2008-06,96.0,73.0
2008-07,96.0,73.0
2008-08,95.0,78.0
2008-09,91.0,72.0
2008-10,87.0,65.0
2008-11,62.0,56.0
2008-12,49.0,47.0
2009-01,45.0,42.0
2009-02,61.0,53.0
2009-03,61.0,51.0
2009-04,72.0,56.0
2009-05,73.0,65.0
2009-06,98.0,76.0
2009-07,90.0,75.0
2009-08,94.0,76.0
2009-09,101.0,81.0
2009-10,81.0,70.0
2009-11,69.0,60.0
2009-12,53.0,52.0
2010-01,53.0,45.0
2010-02,63.0,49.0
2010-03,56.0,49.0
2010-04,65.0,59.0
2010-05,84.0,62.0
2010-06,78.0,70.0
2010-07,87.0,74.0
2010-08,90.0,74.0
2010-09,76.0,71.0
2010-10,71.0,65.0
2010-11,71.0,54.0
2010-12,57.0,52.0
2011-01,43.0,41.0
2011-02,53.0,45.0
2011-03,66.0,52.0
2011-04,64.0,55.0
2011-05,93.0,68.0
2011-06,81.0,69.0
2011-07,96.0,78.0
2011-08,90.0,72.0
2011-09,105.0,90.0
2011-10,81.0,60.0
2011-11,69.0,63.0
2011-12,53.0,51.0
2012-01,47.0,42.0
2012-02,50.0,48.0
2012-03,59.0,50.0
2012-04,70.0,62.0
2012-05,83.0,72.0
2012-06,76.0,69.0
2012-07,98.0,78.0
2012-08,95.0,78.0
2012-09,92.0,73.0
2012-10,68.0,64.0
2012-11,56.0,54.0
2012-12,60.0,44.0
