date,tmax,tmin
2000-01,18.0,-1.0
2000-03,67.0,44.0
2000-05,86.0,61.0
2000-07,89.0,58.0
2000-08,85.0,61.0
2000-10,51.0,23.0
2000-12,41.0,15.0
2001-01,36.0,21.0
2001-03,65.0,38.0
2001-05,78.0,45.0
2001-07,90.0,64.0
2001-08,76.0,62.0
2001-10,50.0,37.0
2001-12,38.0,12.0
2002-01,38.0,12.0
2002-03,77.0,41.0
2002-05,90.0,58.0
2002-07,82.0,69.0
2002-08,89.0,70.0
2002-10,39.0,25.0
2002-12,19.0,-4.0
2003-01,40.0,13.0
2003-03,71.0,48.0
2003-05,79.0,60.0
2003-07,74.0,62.0
2003-08,71.0,60.0
2003-10,74.0,37.0
2003-12,35.0,7.0
2004-01,31.0,14.0
2004-03,57.0,43.0
2004-05,81.0,50.0
2004-07,87.0,64.0
2004-08,87.0,55.0
2004-10,53.0,35.0
2004-12,22.0,-1.0
2005-01,24.0,5.0
2005-03,69.0,43.0
2005-05,85.0,58.0
2005-07,92.0,61.0
2005-08,85.0,68.0
2005-10,53.0,28.0
2005-12,35.0,13.0
2006-01,35.0,18.0
2006-03,65.0,39.0
2006-05,88.0,58.0
2006-07,90.0,65.0
2006-08,77.0,64.0
2006-10,65.0,40.0
2006-12,31.0,12.0
2007-01,37.0,17.0
2007-03,58.0,37.0
2007-05,83.0,64.0
2007-07,90.0,67.0
2007-08,84.0,56.0
2007-10,47.0,37.0
2007-12,27.0,6.0
2008-01,16.0,-9.0
2008-03,57.0,38.0
2008-05,89.0,50.0
2008-07,70.0,64.0
2008-08,74.0,48.0
2008-10,60.0,30.0
2008-12,26.0,2.0
2009-01,45.0,18.0
2009-03,45.0,26.0
2009-05,83.0,50.0
2009-07,90.0,67.0
2009-08,86.0,59.0
2009-10,57.0,37.0
2009-12,47.0,8.0
2010-01,30.0,13.0
2010-03,52.0,39.0
2010-05,74.0,63.0
2010-07,91.0,76.0
2010-08,80.0,58.0
2010-10,59.0,33.0
2010-12,18.0,2.0
2011-01,30.0,5.0
2011-03,69.0,39.0
2011-05,79.0,51.0
2011-07,88.0,64.0
2011-08,87.0,69.0
2011-10,56.0,40.0
2011-12,32.0,13.0
2012-01,42.0,24.0
2012-03,71.0,31.0
2012-05,83.0,58.0
2012-07,85.0,62.0
2012-08,81.0,64.0
2012-10,58.0,29.0
2012-12,31.0,14.0
