date,tmax,tmin
2000-01,7.0,-10.0
2000-02,11.0,-3.0
2000-03,51.0,23.0
2000-04,63.0,36.0
2000-05,79.0,56.0
2000-06,88.0,67.0
2000-07,79.0,69.0
2000-08,83.0,65.0
2000-09,65.0,53.0
2000-10,53.0,26.0
2000-11,24.0,15.0
2000-12,22.0,9.0
2001-01,8.0,-14.0
2001-02,32.0,13.0
2001-03,49.0,34.0
2001-04,80.0,48.0
2001-05,86.0,58.0
2001-06,74.0,64.0
2001-07,89.0,69.0
2001-08,79.0,69.0
2001-09,69.0,43.0
2001-10,47.0,24.0
2001-11,43.0,24.0
2001-12,10.0,-7.0
2002-01,23.0,-1.0
2002-02,35.0,12.0
2002-03,47.0,28.0
2002-04,45.0,31.0
2002-05,72.0,53.0
2002-06,82.0,62.0
2002-07,78.0,63.0
2002-08,79.0,67.0
2002-09,81.0,56.0
2002-10,51.0,35.0
2002-11,20.0,5.0
2002-12,25.0,2.0
2003-01,16.0,5.0
2003-02,38.0,18.0
2003-03,46.0,18.0
2003-04,65.0,47.0
2003-05,77.0,52.0
2003-06,77.0,62.0
2003-07,78.0,66.0
2003-08,81.0,65.0
2003-09,64.0,52.0
2003-10,63.0,42.0
2003-11,43.0,22.0
2003-12,19.0,6.0
2004-01,15.0,-3.0
2004-02,30.0,11.0
2004-03,24.0,13.0
2004-04,72.0,39.0
2004-05,67.0,54.0
2004-06,82.0,66.0
2004-07,83.0,68.0
2004-08,83.0,61.0
2004-09,71.0,60.0
2004-10,68.0,33.0
2004-11,50.0,28.0
2004-12,18.0,5.0
2005-01,22.0,6.0
2005-02,16.0,0.1
2005-03,41.0,26.0
2005-04,58.0,34.0
2005-05,63.0,55.0
2005-06,75.0,62.0
2005-07,82.0,72.0
2005-08,70.0,63.0
2005-09,71.0,58.0
2005-10,47.0,29.0
2005-11,30.0,15.0
2005-12,5.0,-12.0
2006-01,4.0,-13.0
2006-02,21.0,-4.0
2006-03,59.0,34.0
2006-04,43.0,32.0
2006-05,75.0,59.0
2006-06,75.0,58.0
2006-07,85.0,64.0
2006-08,78.0,61.0
2006-09,80.0,56.0
2006-10,52.0,37.0
2006-11,36.0,16.0
2006-12,10.0,-3.0
2007-01,26.0,14.0
2007-02,30.0,19.0
2007-03,40.0,20.0
2007-04,54.0,29.0
2007-05,69.0,46.0
2007-06,91.0,69.0
2007-07,78.0,71.0
2007-08,74.0,70.0
2007-09,82.0,60.0
2007-10,60.0,32.0
2007-11,30.0,15.0
2007-12,15.0,1.0
2008-01,6.0,-8.0
2008-02,29.0,2.0
2008-03,58.0,31.0
2008-04,82.0,54.0
2008-05,68.0,49.0
2008-06,90.0,67.0
2008-07,74.0,62.0
2008-08,85.0,63.0
2008-09,77.0,49.0
2008-10,58.0,50.0
2008-11,26.0,5.0
2008-12,40.0,9.0
2009-01,21.0,2.0
2009-02,14.0,-3.0
2009-03,60.0,34.0
2009-04,65.0,44.0
2009-05,69.0,49.0
2009-06,69.0,62.0
2009-07,80.0,63.0
2009-08,83.0,73.0
2009-09,71.0,57.0
2009-10,49.0,43.0
2009-11,14.0,0.1
2009-12,2.0,-7.0
2010-01,22.0,8.0
2010-02,22.0,9.0
2010-03,19.0,0.1
2010-04,48.0,28.0
2010-05,70.0,57.0
2010-06,86.0,65.0
2010-07,84.0,71.0
2010-08,86.0,64.0
2010-09,62.0,48.0
2010-10,40.0,21.0
2010-11,37.0,18.0
2010-12,15.0,2.0
2011-01,2.0,-10.0
2011-02,25.0,9.0
2011-03,43.0,14.0
2011-04,51.0,39.0
2011-05,74.0,47.0
2011-06,81.0,59.0
2011-07,83.0,68.0
2011-08,75.0,61.0
2011-09,59.0,35.0
2011-10,39.0,25.0
2011-11,42.0,19.0
2011-12,16.0,1.0
2012-01,18.0,2.0
2012-02,15.0,-8.0
2012-03,34.0,11.0
2012-04,69.0,39.0
2012-05,71.0,42.0
2012-06,77.0,60.0
2012-07,87.0,66.0
2012-08,82.0,66.0
2012-09,72.0,53.0
2012-10,44.0,31.0
2012-11,24.0,10.0
2012-12,1.0,-8.0
