date,tmax,tmin
2000-01,51.0,31.0
2000-02,46.0,40.0
2000-03,70.0,50.0
2000-04,81.0,63.0
2000-05,81.0,64.0
2000-06,90.0,73.0
2000-07,82.0,76.0
2000-08,87.0,78.0
2000-09,89.0,66.0
2000-10,62.0,59.0
2000-11,48.0,45.0
2000-12,54.0,45.0
2001-01,47.0,45.0
2001-02,67.0,53.0
2001-03,58.0,48.0
2001-04,81.0,70.0
2001-05,88.0,65.0
2001-06,82.0,76.0
2001-07,94.0,78.0
2001-08,96.0,76.0
2001-09,86.0,73.0
2001-10,81.0,60.0
2001-11,69.0,45.0
2001-12,40.0,38.0
2002-01,39.0,36.0
2002-02,60.0,45.0
2002-03,78.0,57.0
2002-04,59.0,55.0
2002-05,76.0,66.0
2002-06,86.0,78.0
2002-07,96.0,78.0
2002-08,75.0,72.0
2002-09,85.0,72.0
2002-10,72.0,64.0
2002-11,51.0,47.0
2002-12,44.0,41.0
2003-01,61.0,35.0
2003-02,64.0,48.0
2003-03,47.0,41.0
2003-04,59.0,54.0
2003-05,83.0,64.0
2003-06,94.0,77.0
2003-07,97.0,84.0
2003-08,88.0,75.0
2003-09,88.0,77.0
2003-10,76.0,53.0
2003-11,54.0,52.0
2003-12,49.0,33.0
2004-01,41.0,33.0
2004-02,79.0,53.0
2004-03,49.0,46.0
2004-04,92.0,66.0
2004-05,80.0,63.0
2004-06,91.0,70.0
2004-07,84.0,77.0
2004-08,88.0,70.0
2004-09,92.0,74.0
2004-10,74.0,58.0
2004-11,71.0,46.0
2004-12,52.0,45.0
2005-01,42.0,40.0
2005-02,39.0,35.0
2005-03,55.0,51.0
2005-04,77.0,67.0
2005-05,73.0,65.0
2005-06,80.0,75.0
2005-07,94.0,82.0
2005-08,74.0,69.0
2005-09,95.0,75.0
2005-10,73.0,65.0
2005-11,60.0,51.0
2005-12,56.0,36.0
2006-01,40.0,35.0
2006-02,48.0,37.0
2006-03,60.0,52.0
2006-04,87.0,65.0
2006-05,89.0,68.0
2006-06,93.0,76.0
2006-07,96.0,82.0
2006-08,88.0,77.0
2006-09,83.0,67.0
2006-10,79.0,70.0
2006-11,56.0,51.0
2006-12,59.0,41.0
2007-01,48.0,36.0
2007-02,55.0,46.0
2007-03,56.0,42.0
2007-04,84.0,57.0
2007-05,90.0,70.0
2007-06,96.0,79.0
2007-07,99.0,84.0
2007-08,91.0,80.0
2007-09,82.0,66.0
2007-10,76.0,59.0
2007-11,60.0,45.0
2007-12,57.0,40.0
2008-01,33.0,32.0
2008-02,47.0,43.0
2008-03,77.0,55.0
2008-04,90.0,71.0
2008-05,85.0,68.0
2008-06,85.0,73.0
2008-07,90.0,79.0
2008-08,98.0,80.0
2008-09,97.0,77.0
2008-10,82.0,65.0
2008-11,62.0,50.0
2008-12,68.0,46.0
2009-01,48.0,45.0
2009-02,45.0,42.0
2009-03,83.0,69.0
2009-04,71.0,64.0
2009-05,72.0,63.0
2009-06,99.0,82.0
2009-07,100.0,88.0
2009-08,98.0,82.0
2009-09,86.0,78.0
2009-10,67.0,62.0
2009-11,50.0,36.0
2009-12,45.0,35.0
2010-01,72.0,53.0
2010-02,59.0,40.0
2010-03,83.0,62.0
2010-04,66.0,62.0
2010-05,69.0,65.0
2010-06,85.0,76.0
2010-07,96.0,82.0
2010-08,100.0,84.0
2010-09,98.0,81.0
2010-10,74.0,64.0
2010-11,68.0,50.0
2010-12,56.0,44.0
2011-01,33.0,31.0
2011-02,53.0,44.0
2011-03,59.0,51.0
2011-04,81.0,58.0
2011-05,95.0,74.0
2011-06,79.0,73.0
2011-07,91.0,77.0
2011-08,98.0,83.0
2011-09,61.0,55.0
2011-10,79.0,62.0
2011-11,70.0,58.0
2011-12,54.0,37.0
2012-01,43.0,40.0
2012-02,56.0,35.0
2012-03,56.0,47.0
2012-04,79.0,60.0
2012-05,86.0,70.0
2012-06,93.0,76.0
2012-07,87.0,77.0
2012-08,99.0,83.0
2012-09,89.0,66.0
2012-10,79.0,65.0
2012-11,60.0,45.0
2012-12,47.0,37.0
