date,tmax,tmin
1995-01,71.0,52.0
1995-02,67.0,52.0
1995-03,74.0,59.0
1995-06,83.0,77.0
1995-07,90.0,72.0
1995-08,84.0,76.0
1995-09,88.0,80.0
1995-10,84.0,73.0
1995-12,67.0,54.0
1996-02,67.0,54.0
1996-03,80.0,67.0
1996-05,83.0,71.0
1996-06,91.0,81.0
1996-09,88.0,80.0
1996-10,88.0,78.0
1996-11,86.0,74.0
1996-12,67.0,55.0
1997-02,64.0,54.0
1997-03,78.0,64.0
1997-04,70.0,66.0
1997-05,79.0,73.0
1997-07,86.0,78.0
1997-10,85.0,76.0
1997-11,78.0,65.0
1998-01,71.0,63.0
1998-02,63.0,48.0
1998-03,67.0,63.0
1998-04,83.0,69.0
1998-05,86.0,76.0
1998-06,77.0,69.0
1998-07,86.0,76.0
1998-08,87.0,77.0
1998-09,84.0,78.0
1998-10,85.0,77.0
1998-11,80.0,68.0
1999-02,74.0,57.0
1999-04,81.0,68.0
1999-05,75.0,61.0
1999-07,84.0,77.0
1999-08,89.0,82.0
1999-09,89.0,78.0
1999-10,89.0,77.0
1999-11,81.0,73.0
